,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,9680,9880,9580,9730,3,0,0.00,132392,-42.74,71.11,0.84,1.08,-7112,0,159580,1290,7112,5,-50,-0.51,2,150,1.54,5,-150,-1.54,119582
1,20161111,9400,9830,9340,9730,2,220,2.31,231202,4.16,103.49,0.84,1.88,13416,0,159580,2232,-12036,5,-110,-1.16,2,320,3.36,5,-170,-1.79,119582
2,20161110,9120,9510,9060,9510,2,670,7.58,221962,-56.57,198.64,0.74,1.81,9386,0,159580,2063,-8980,2,280,3.17,2,670,7.58,2,220,2.49,116878
3,20161109,9500,9600,8240,8840,5,770,-8.01,511105,211.79,40.40,0.66,4.16,1526,-430,159580,4558,-3857,5,-110,-1.14,5,-10,-0.10,5,-1370,-14.26,108644
4,20161108,9310,9610,9230,9610,2,380,4.12,163928,27.96,100.74,0.65,1.33,-4379,0,159580,1540,4379,2,80,0.87,2,380,4.12,3,0,0.00,118107
5,20161107,9100,9320,9100,9230,2,80,0.87,128112,-88.96,51.66,0.68,1.04,710,0,159580,1178,-6662,5,-50,-0.55,2,170,1.86,5,-50,-0.55,113437
6,20161104,10300,10300,9150,9150,3,0,0.00,1160402,487.78,44.65,0.68,9.44,-13715,-2805,159580,11303,18620,2,1150,12.57,2,1150,12.57,3,0,0.00,112454
7,20161103,8700,9190,8600,9150,2,440,5.05,197422,2.91,162.61,0.79,1.61,12453,0,159580,1815,-12095,5,-10,-0.11,2,480,5.51,5,-110,-1.26,112454
8,20161102,9220,9320,8710,8710,5,610,-6.55,191839,166.88,23.66,0.69,1.56,5188,0,159580,1714,-6978,5,-100,-1.07,3,0,0.00,5,-610,-6.55,107046
9,20161101,9220,9440,9210,9320,3,0,0.00,71881,-79.57,50.44,0.65,0.58,5106,0,159580,669,-5405,5,-100,-1.07,2,120,1.29,5,-110,-1.18,114543
10,20161031,9230,9820,8830,9320,2,120,1.30,351814,145.53,85.33,0.60,2.86,-17206,3105,159580,3251,12701,2,30,0.33,2,620,6.74,5,-370,-4.02,114543
11,20161028,9590,9590,9190,9200,5,400,-4.17,143289,-3.13,24.45,0.75,1.17,-4646,0,159580,1331,6656,5,-10,-0.10,5,-10,-0.10,5,-410,-4.27,113068
12,20161027,9400,9790,9400,9600,2,200,2.13,147926,-52.33,90.22,0.79,1.20,2017,0,159580,1423,-2417,3,0,0.00,2,390,4.15,3,0,0.00,117984
13,20161026,9510,9690,9010,9400,5,350,-3.59,310318,41.69,38.50,0.77,2.52,18214,-3900,159580,2897,-14424,5,-240,-2.46,5,-60,-0.62,5,-740,-7.59,115526
14,20161025,10100,10200,9700,9750,5,350,-3.47,219008,-21.79,33.96,0.63,1.78,-1373,0,159580,2156,-1037,3,0,0.00,2,100,0.99,5,-400,-3.96,119828
15,20161024,10200,10450,10000,10100,3,0,0.00,280033,43.95,82.39,0.64,2.28,-10863,0,159580,2870,10849,2,100,0.99,2,350,3.47,5,-100,-0.99,124129
16,20161021,10100,10300,9900,10100,2,100,1.00,194535,-40.76,84.87,0.72,1.58,-15642,0,159580,1965,15752,2,100,1.00,2,300,3.00,5,-100,-1.00,124129
17,20161020,9870,10300,9820,10000,2,200,2.04,328385,85.58,91.99,0.85,2.67,-36711,0,159580,3304,36089,2,70,0.71,2,500,5.10,2,20,0.20,122900
18,20161019,9800,9900,9650,9800,3,0,0.00,176953,-34.62,59.48,1.15,1.44,-282,1000,159580,1729,-619,3,0,0.00,2,100,1.02,5,-150,-1.53,120442
19,20161018,9920,10200,9620,9800,5,120,-1.21,270657,0.24,61.53,1.16,2.20,-13823,0,159580,2680,13508,3,0,0.00,2,280,2.82,5,-300,-3.02,120442
20,20161017,10100,10400,9840,9920,5,130,-1.29,270009,-7.78,65.38,1.27,2.20,-20476,500,159580,2713,19976,2,50,0.50,2,350,3.48,5,-210,-2.09,121917
21,20161014,10400,10400,10000,10050,5,150,-1.47,292776,-31.15,39.68,1.44,2.38,-7095,0,159580,2979,7120,2,200,1.96,2,200,1.96,5,-200,-1.96,123514
22,20161013,10650,10750,10200,10200,5,500,-4.67,425239,-2.40,42.44,1.49,3.46,77022,0,159580,4425,-77021,5,-50,-0.47,2,50,0.47,5,-500,-4.67,125358
23,20161012,11050,11400,10700,10700,5,550,-4.89,435691,-20.95,53.14,0.87,3.55,22548,0,159580,4799,-22557,5,-200,-1.78,2,150,1.33,5,-550,-4.89,131503
24,20161011,11400,11750,11100,11250,5,350,-3.02,551136,-37.30,66.44,0.68,4.48,620,0,159580,6288,-23,5,-200,-1.72,2,150,1.29,5,-500,-4.31,138262
25,20161010,10700,11600,10650,11600,2,850,7.91,879060,-82.44,117.30,0.82,7.15,-3273,-4000,159580,9836,7615,5,-50,-0.47,2,850,7.91,5,-100,-0.93,142564
26,20161007,12100,13050,10500,10750,2,250,2.38,5007147,1006.47,88.77,0.87,40.74,20434,-212798,159580,60234,202738,2,1600,15.24,2,2550,24.29,3,0,0.00,132118
27,20161006,10100,10500,9900,10500,2,400,3.96,452535,27.40,109.61,0.69,3.68,510,-11940,159580,4675,1284,3,0,0.00,2,400,3.96,5,-200,-1.98,129045
28,20161005,10300,10450,9970,10100,5,200,-1.94,355214,21.59,69.49,0.69,2.89,-21334,-23181,159580,3628,44508,3,0,0.00,2,150,1.46,5,-330,-3.20,124129
29,20161004,9950,10300,9850,10300,2,490,4.99,292136,12.94,148.05,0.86,2.38,16885,43,159580,2947,-16848,2,140,1.43,2,490,4.99,2,40,0.41,126587
30,20160930,10000,10050,9650,9810,5,290,-2.87,258676,-34.71,40.44,0.73,2.10,-5633,142,159580,2545,5492,5,-100,-0.99,5,-50,-0.50,5,-450,-4.46,120565
31,20160929,10200,10400,9990,10100,3,0,0.00,396172,19.98,76.51,0.78,3.22,-21685,0,159580,4014,21685,2,100,0.99,2,300,2.97,5,-110,-1.09,124129
32,20160928,10000,10200,9910,10100,2,50,0.50,330188,-57.00,59.62,0.97,2.69,-1766,0,159580,3312,1776,5,-50,-0.50,2,150,1.49,5,-140,-1.39,124129
33,20160927,10050,10550,9850,10050,2,50,0.50,767962,-36.07,98.84,1.00,6.25,-8780,26,159580,7811,8784,2,50,0.50,2,550,5.50,5,-150,-1.50,123514
34,20160926,9650,10300,9650,10000,2,620,6.61,1201281,369.09,85.79,1.08,9.77,1356,-15734,159580,12001,14720,2,270,2.88,2,920,9.81,2,270,2.88,122900
35,20160923,9770,9810,9380,9380,5,180,-1.88,256090,-35.54,49.31,1.07,2.08,1943,-1375,159580,2447,110,2,210,2.20,2,250,2.62,5,-180,-1.88,115280
36,20160922,9540,9850,9420,9560,2,140,1.49,397275,-77.33,87.34,1.08,3.23,9239,13,159580,3844,-8752,2,120,1.27,2,430,4.56,3,0,0.00,117492
37,20160921,9390,10200,9310,9420,2,110,1.18,1752691,928.06,91.83,0,14.26,0,-10143,159580,17144,42572,2,80,0.86,2,890,9.56,3,0,0.00,115772
38,20160920,9240,9330,9070,9310,2,110,1.20,170486,-66.30,80.81,1.12,1.39,11378,0,159580,1569,-11418,2,40,0.43,2,130,1.41,5,-130,-1.41,114420
39,20160919,8940,9370,8850,9200,2,360,4.07,505938,468.37,143.31,1.12,4.12,25380,-13342,159580,4644,-9100,2,100,1.13,2,530,6.00,2,10,0.11,113068
40,20160913,8790,8970,8750,8840,2,20,0.23,89015,-59.31,67.86,0.90,0.72,4598,0,159580,788,-4598,5,-30,-0.34,2,150,1.70,5,-70,-0.79,108644
41,20160912,8430,8910,8200,8820,2,360,4.26,218777,133.65,142.28,0.86,1.78,4799,-659,159580,1909,-3240,5,-30,-0.35,2,450,5.32,5,-260,-3.07,108398
42,20160909,8370,8590,8300,8460,3,0,0.00,93633,-13.69,63.31,0.82,0.76,14385,0,159580,789,-14292,5,-90,-1.06,2,130,1.54,5,-160,-1.89,103973
43,20160908,8790,8810,8410,8460,5,220,-2.53,108480,9.75,42.45,0.71,0.88,-41,-1209,159580,930,1103,2,110,1.27,2,130,1.50,5,-270,-3.11,103973
44,20160907,8820,8890,8680,8680,5,140,-1.59,98847,-50.90,29.82,0.71,0.80,-10355,0,159580,866,10355,3,0,0.00,2,70,0.79,5,-140,-1.59,106677
45,20160906,8700,9060,8660,8820,2,20,0.23,201314,103.23,114.06,0.79,1.64,-9625,0,159580,1788,9874,5,-100,-1.14,2,260,2.95,5,-140,-1.59,108398
46,20160905,8860,8860,8700,8800,5,50,-0.56,99059,-47.81,22.83,0.87,0.81,-4588,-191,159580,868,4259,2,10,0.11,2,10,0.11,5,-150,-1.69,108152
47,20160902,8610,8960,8570,8850,2,240,2.79,189790,103.41,100.50,0.91,1.54,17369,-560,159580,1668,-18057,3,0,0.00,2,350,4.07,5,-40,-0.46,108766
48,20160901,8500,8750,8460,8610,2,130,1.53,93302,-54.10,105.33,0.76,0.76,13236,0,159580,801,-13143,2,20,0.24,2,270,3.18,5,-20,-0.24,105817
49,20160831,8430,8630,8280,8480,5,170,-1.97,203256,58.23,33.81,0.64,1.65,-7953,614,159580,1712,7359,5,-220,-2.54,5,-20,-0.23,5,-370,-4.28,104219
50,20160830,8450,8670,8450,8650,2,200,2.37,128453,-43.05,79.20,0.69,1.05,-3776,0,159580,1099,3776,3,0,0.00,2,220,2.60,3,0,0.00,106308
51,20160829,8790,8840,8450,8450,5,450,-5.06,225543,-48.90,39.83,0.66,1.84,5057,27,159580,1932,-5159,5,-110,-1.24,5,-60,-0.67,5,-450,-5.06,103850
52,20160826,9110,9300,8820,8900,5,150,-1.66,441398,-84.10,42.45,0.62,3.59,1566,-33753,159580,3963,29685,2,60,0.66,2,250,2.76,5,-230,-2.54,109381
53,20160825,8990,9940,8950,9050,2,200,2.26,2776812,1329.09,89.89,0.61,22.59,-10933,-1580,159580,26443,12597,2,140,1.58,2,1090,12.32,2,100,1.13,111224
54,20160824,8710,9020,8710,8850,2,110,1.26,194306,100.62,131.53,0.69,1.58,14456,-6728,159580,1724,-7728,5,-30,-0.34,2,280,3.20,5,-30,-0.34,108766
55,20160823,8860,9040,8740,8740,5,120,-1.35,96855,-56.39,32.88,0.58,0.79,2194,-2428,159580,856,288,3,0,0.00,2,180,2.03,5,-120,-1.35,107415
56,20160822,9260,9290,8800,8860,5,310,-3.38,222100,-22.64,22.74,0.57,1.81,-29944,-658,159580,1996,30600,2,90,0.98,2,120,1.31,5,-370,-4.03,108889
57,20160819,9110,9420,9010,9170,2,120,1.33,287099,23.35,119.81,0.81,2.34,23788,-1277,159580,2646,-22435,2,60,0.66,2,370,4.09,5,-40,-0.44,112699
58,20160818,9050,9270,9040,9050,2,50,0.56,232745,23.43,70.30,0.63,1.89,6799,-1596,159580,2125,-4977,2,50,0.56,2,270,3.00,2,40,0.44,111224
59,20160817,9230,9290,8840,9000,5,200,-2.17,188572,-70.86,41.72,0.58,1.53,675,-1563,159580,1701,-1205,2,30,0.33,2,90,0.98,5,-360,-3.91,110610
60,20160816,9200,9700,9100,9200,2,90,0.99,647122,120.75,102.97,0.57,5.27,835,0,159580,6087,1965,2,90,0.99,2,590,6.48,5,-10,-0.11,113068
