,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161115,5430,5650,5430,5600,2,120,2.19,39480,-2.63,94.67,3.16,0.36,0,0,014570,219,0,5,-50,-0.91,2,170,3.10,5,-50,-0.91,61600
1,20161114,5500,5530,5410,5480,2,50,0.92,40547,-41.06,50.32,3.16,0.37,4219,0,014570,222,-4219,2,70,1.29,2,100,1.84,5,-20,-0.37,60280
2,20161111,5420,5580,5400,5430,3,0,0.00,68790,-25.53,85.06,3.12,0.63,6787,0,014570,376,-6787,5,-10,-0.18,2,150,2.76,5,-30,-0.55,59730
3,20161110,5220,5470,5220,5430,2,350,6.89,92369,-30.11,134.97,3.06,0.84,12813,0,014570,498,-12813,2,140,2.76,2,390,7.68,2,140,2.76,59730
4,20161109,5430,5430,4900,5080,5,310,-5.75,132167,143.03,34.65,2.94,1.20,-7187,0,014570,674,7185,2,40,0.74,2,40,0.74,5,-490,-9.09,55880
5,20161108,5310,5440,5280,5390,2,110,2.08,54384,100.64,149.01,3.00,0.49,-3717,0,014570,292,3717,2,30,0.57,2,160,3.03,3,0,0.00,59290
6,20161107,5200,5320,5200,5280,2,60,1.15,27105,-34.67,39.55,3.04,0.25,-4116,0,014570,143,4116,5,-20,-0.38,2,100,1.92,5,-20,-0.38,58080
7,20161104,5050,5260,5030,5220,2,150,2.96,41491,-53.21,94.83,3.08,0.38,7417,0,014570,213,-7418,5,-20,-0.39,2,190,3.75,5,-40,-0.79,57420
8,20161103,5030,5290,5010,5070,5,140,-2.69,88672,129.75,102.30,3.01,0.81,6769,0,014570,455,-6769,5,-180,-3.45,2,80,1.54,5,-200,-3.84,55770
9,20161102,5340,5400,5030,5210,5,220,-4.05,38595,-29.85,36.15,2.95,0.35,-2458,0,014570,202,2457,5,-90,-1.66,5,-30,-0.55,5,-400,-7.37,57310
10,20161101,5250,5580,5230,5430,2,20,0.37,55020,-8.19,94.24,2.97,0.50,680,0,014570,296,-680,5,-160,-2.96,2,170,3.14,5,-180,-3.33,59730
11,20161031,5640,5670,5200,5410,5,260,-4.59,59930,96.86,20.74,2.96,0.54,5476,0,014570,326,-4535,5,-30,-0.53,3,0,0.00,5,-470,-8.29,59510
12,20161028,5860,5890,5630,5670,5,180,-3.08,30443,47.16,20.52,2.94,0.28,-4128,1,014570,173,4127,2,10,0.17,2,40,0.68,5,-220,-3.76,62370
13,20161027,5730,5910,5690,5850,2,110,1.92,20687,-65.95,161.23,2.97,0.19,1299,0,014570,120,-1299,5,-10,-0.17,2,170,2.96,5,-50,-0.87,64350
14,20161026,5710,5870,5660,5740,5,130,-2.21,60750,18.94,42.88,2.96,0.55,3431,0,014570,349,-3421,5,-160,-2.73,3,0,0.00,5,-210,-3.58,63140
15,20161025,6010,6010,5810,5870,5,140,-2.33,51075,-60.73,19.79,2.93,0.46,-1479,0,014570,300,1509,3,0,0.00,3,0,0.00,5,-200,-3.33,64570
16,20161024,6100,6220,5910,6010,5,90,-1.48,130060,106.78,60.15,2.94,1.18,-7941,0,014570,786,7914,3,0,0.00,2,120,1.97,5,-190,-3.11,66110
17,20161021,6060,6140,5990,6100,2,80,1.33,62897,36.74,106.12,3.02,0.57,-2977,0,014570,382,2978,2,40,0.66,2,120,1.99,5,-30,-0.50,67100
18,20161020,6200,6200,6010,6020,5,130,-2.11,45998,-51.23,12.89,3.04,0.42,-5820,0,014570,279,5820,2,50,0.81,2,50,0.81,5,-140,-2.28,66220
19,20161019,6090,6360,6030,6150,2,40,0.65,94308,80.97,123.00,3.10,0.86,-9322,0,014570,587,9323,5,-20,-0.33,2,250,4.09,5,-80,-1.31,67650
20,20161018,6100,6160,6030,6110,5,60,-0.97,52112,32.64,32.80,3.18,0.47,-1180,0,014570,316,1020,5,-70,-1.13,5,-10,-0.16,5,-140,-2.27,67210
21,20161017,6200,6260,6090,6170,5,30,-0.48,39289,-43.13,12.37,3.19,0.36,-1247,0,014570,241,1248,3,0,0.00,2,60,0.97,5,-110,-1.77,67870
22,20161014,6230,6390,6160,6200,2,30,0.49,69087,40.09,33.49,3.20,0.63,-9931,0,014570,432,9932,2,60,0.97,2,220,3.57,5,-10,-0.16,68200
23,20161013,6290,6300,6140,6170,5,90,-1.44,49315,-11.41,39.16,3.29,0.45,-8197,0,014570,305,9098,2,30,0.48,2,40,0.64,5,-120,-1.92,67870
24,20161012,6240,6330,6200,6260,5,60,-0.95,55667,41.65,19.42,3.37,0.51,-9510,0,014570,346,9511,5,-80,-1.27,2,10,0.16,5,-120,-1.90,68860
25,20161011,6280,6400,6210,6320,2,30,0.48,39300,-14.15,15.22,3.45,0.36,-924,0,014570,246,925,5,-10,-0.16,2,110,1.75,5,-80,-1.27,69520
26,20161010,6220,6450,6220,6290,5,10,-0.16,45776,-62.40,74.75,3.48,0.42,-64,0,014570,289,65,5,-80,-1.27,2,150,2.38,5,-80,-1.27,69190
27,20161007,6370,6700,6280,6300,5,10,-0.16,121735,187.63,58.65,3.47,1.11,-12258,0,014570,780,12260,2,60,0.95,2,390,6.18,5,-30,-0.48,69300
28,20161006,6320,6390,6260,6310,5,20,-0.32,42323,-30.06,30.42,3.60,0.38,264,0,014570,267,-262,5,-10,-0.16,2,60,0.95,5,-70,-1.11,69410
29,20161005,6330,6460,6290,6330,5,60,-0.94,60511,6.81,55.80,3.60,0.55,3842,0,014570,384,-3840,5,-60,-0.94,2,70,1.10,5,-100,-1.56,69630
30,20161004,6370,6620,6200,6390,5,20,-0.31,56655,10.52,105.30,3.57,0.52,19498,0,014570,361,-19496,5,-40,-0.62,2,210,3.28,5,-210,-3.28,70290
31,20160930,6680,6680,6410,6410,5,240,-3.61,51261,16.41,45.32,3.39,0.47,-13877,0,014570,334,13866,2,30,0.45,2,30,0.45,5,-240,-3.61,70510
32,20160929,6700,6700,6580,6650,3,0,0.00,44036,-13.27,106.90,3.52,0.40,-7538,0,014570,292,7538,2,50,0.75,2,50,0.75,5,-70,-1.05,73150
33,20160928,6580,6660,6550,6650,2,90,1.37,50773,-12.75,86.76,3.59,0.46,-490,0,014570,335,494,2,20,0.30,2,100,1.52,5,-10,-0.15,73150
34,20160927,6530,6640,6500,6560,5,60,-0.91,58192,27.54,52.00,3.59,0.53,-204,0,014570,381,184,5,-90,-1.36,2,20,0.30,5,-120,-1.81,72160
35,20160926,6640,6700,6480,6620,2,30,0.46,45627,-50.89,103.28,3.59,0.41,230,0,014570,300,-250,2,50,0.76,2,110,1.67,5,-110,-1.67,72820
36,20160923,6520,6640,6460,6590,2,140,2.17,92909,89.80,107.94,3.59,0.84,5765,0,014570,610,-6265,2,70,1.09,2,190,2.95,2,10,0.16,72490
37,20160922,6350,6480,6330,6450,2,140,2.22,48952,-18.68,184.27,3.54,0.45,7033,0,014570,314,-6923,2,40,0.63,2,170,2.69,2,20,0.32,70950
38,20160921,6400,6410,6290,6310,5,30,-0.47,60195,36.47,207.34,3.48,0.55,9987,0,014570,382,-10097,2,60,0.95,2,70,1.10,5,-50,-0.79,69410
39,20160920,6200,6370,6200,6340,2,130,2.09,44110,55.82,198.45,3.39,0.40,12171,0,014570,278,-12176,5,-10,-0.16,2,160,2.58,5,-10,-0.16,69740
40,20160919,6120,6270,6120,6210,2,20,0.32,28308,-14.96,161.85,3.27,0.26,3416,0,014570,175,-3416,5,-70,-1.13,2,80,1.29,5,-70,-1.13,68310
41,20160913,6090,6270,6080,6190,2,110,1.81,33288,-7.42,35.43,3.24,0.30,8219,0,014570,204,-8219,2,10,0.16,2,190,3.12,3,0,0.00,68090
42,20160912,6140,6240,6080,6080,5,170,-2.72,35957,18.06,16.45,3.10,0.33,1309,0,014570,220,-1580,5,-110,-1.76,5,-10,-0.16,5,-170,-2.72,66880
43,20160909,6250,6330,6100,6250,5,80,-1.26,30456,-58.20,29.69,3.08,0.28,-174,0,014570,188,174,5,-80,-1.26,3,0,0.00,5,-230,-3.63,68750
44,20160908,6400,6450,6230,6330,5,60,-0.94,72864,28.62,31.83,3.09,0.66,-4000,0,014570,460,5000,2,10,0.16,2,60,0.94,5,-160,-2.50,69630
45,20160907,6440,6460,6310,6390,3,0,0.00,56649,8.44,43.95,3.12,0.51,-9009,0,014570,360,9009,2,50,0.78,2,70,1.10,5,-80,-1.25,70290
46,20160906,6400,6460,6280,6390,5,10,-0.16,52240,10.63,47.29,3.20,0.47,-8590,0,014570,332,8590,3,0,0.00,2,60,0.94,5,-120,-1.88,70290
47,20160905,6390,6490,6350,6400,2,20,0.31,47221,-57.76,16.79,3.28,0.43,-1979,0,014570,302,1979,2,10,0.16,2,110,1.72,5,-30,-0.47,70400
48,20160902,6210,6560,6210,6380,2,160,2.57,111793,102.25,81.34,3.30,1.02,-8035,0,014570,716,8045,5,-10,-0.16,2,340,5.47,5,-10,-0.16,70180
49,20160901,6150,6340,6150,6220,2,10,0.16,55274,-36.22,86.14,3.37,0.50,6610,0,014570,345,-6610,5,-60,-0.97,2,130,2.09,5,-60,-0.97,68420
50,20160831,6330,6410,6140,6210,5,170,-2.66,86663,115.17,41.98,3.31,0.79,-2367,0,014570,539,2512,5,-50,-0.78,2,30,0.47,5,-240,-3.76,68310
51,20160830,6350,6440,6330,6380,2,100,1.59,40276,-65.14,76.16,3.33,0.37,5957,0,014570,257,-5956,2,70,1.11,2,160,2.55,2,50,0.80,70180
52,20160829,6520,6650,6260,6280,5,320,-4.85,115534,134.65,21.38,3.28,1.05,-4405,0,014570,740,4405,5,-80,-1.21,2,50,0.76,5,-340,-5.15,69080
53,20160826,6700,6760,6580,6600,5,130,-1.93,49236,-10.82,38.76,3.32,0.45,-1395,0,014570,327,1801,5,-30,-0.45,2,30,0.45,5,-150,-2.23,72600
54,20160825,6830,6890,6730,6730,5,170,-2.46,55208,19.33,30.32,3.33,0.50,-2128,0,014570,375,2129,5,-70,-1.01,5,-10,-0.14,5,-170,-2.46,74030
55,20160824,7040,7050,6810,6900,5,80,-1.15,46264,-48.79,36.14,3.35,0.42,-6935,0,014570,319,6940,2,60,0.86,2,70,1.00,5,-170,-2.44,75900
56,20160823,6790,7130,6790,6980,2,140,2.05,90343,11.29,134.93,3.42,0.82,8796,0,014570,631,-8793,5,-50,-0.73,2,290,4.24,5,-50,-0.73,76780
57,20160822,6950,7060,6780,6840,5,160,-2.29,81178,146.38,20.28,3.34,0.74,-2201,0,014570,558,2150,5,-50,-0.71,2,60,0.86,5,-220,-3.14,75240
58,20160819,7050,7130,6980,7000,5,50,-0.71,32948,-50.26,53.39,3.36,0.30,216,0,014570,232,-216,3,0,0.00,2,80,1.13,5,-70,-0.99,77000
59,20160818,7010,7110,7000,7050,2,20,0.28,66242,-65.32,56.39,3.35,0.60,3085,0,014570,467,-2959,5,-20,-0.28,2,80,1.14,5,-30,-0.43,77550
60,20160817,7190,7370,6960,7030,5,160,-2.23,191019,3.06,40.61,3.33,1.74,-29758,0,014570,1370,28490,3,0,0.00,2,180,2.50,5,-230,-3.20,77330
61,20160816,7050,7220,6950,7190,2,210,3.01,185341,60.19,152.32,3.60,1.68,-4144,0,014570,1316,4141,2,70,1.00,2,240,3.44,5,-30,-0.43,79090
62,20160812,6960,7120,6870,6980,2,30,0.43,115698,-52.85,73.08,3.63,1.05,111,0,014570,810,-266,2,10,0.14,2,170,2.45,5,-80,-1.15,76780
63,20160811,7100,7180,6920,6950,5,150,-2.11,245383,-81.51,34.76,3.69,2.23,-3617,0,014570,1723,4998,3,0,0.00,2,80,1.13,5,-180,-2.54,76450
