,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,1840,1865,1820,1840,3,0,0.00,112224,-60.42,147.77,4.92,0.36,5350,0,032680,206,-5250,3,0,0.00,2,25,1.36,5,-20,-1.09,56636
1,20161111,1870,1920,1820,1840,5,20,-1.08,283552,-32.66,64.50,4.92,0.92,-43900,-1,032680,525,43896,2,10,0.54,2,60,3.23,5,-40,-2.15,56636
2,20161110,1805,1885,1755,1860,2,110,6.29,421073,-9.03,60.37,5.06,1.37,-2312,0,032680,765,2312,2,55,3.14,2,135,7.71,2,5,0.29,57251
3,20161109,1880,1880,1680,1750,5,105,-5.66,462876,77.54,39.45,5.07,1.50,-34985,0,032680,818,34985,2,25,1.35,2,25,1.35,5,-175,-9.43,53865
4,20161108,1835,1865,1800,1855,2,55,3.06,260716,76.70,68.56,5.18,0.85,-24708,0,032680,478,24709,2,35,1.94,2,65,3.61,3,0,0.00,57097
5,20161107,1720,1820,1720,1800,2,80,4.65,147544,21.14,170.54,5.26,0.48,-823,0,032680,264,823,3,0,0.00,2,100,5.81,3,0,0.00,55404
6,20161104,1710,1760,1665,1720,2,10,0.58,121795,-40.36,61.06,5.26,0.40,-3990,-2,032680,209,3993,3,0,0.00,2,50,2.92,5,-45,-2.63,52942
7,20161103,1645,1725,1640,1710,2,10,0.59,204221,-28.36,71.15,5.28,0.66,13441,0,032680,346,-13493,5,-55,-3.24,2,25,1.47,5,-60,-3.53,52634
8,20161102,1775,1780,1645,1700,5,80,-4.49,285077,62.72,34.04,5.23,0.93,49067,1,032680,484,-49068,5,-5,-0.28,3,0,0.00,5,-135,-7.58,52326
9,20161101,1715,1800,1710,1780,2,55,3.19,175192,-63.48,140.82,5.07,0.57,15008,0,032680,309,-15008,5,-10,-0.58,2,75,4.35,5,-15,-0.87,54789
10,20161031,1895,1895,1705,1725,5,125,-6.76,479740,82.87,50.78,5.03,1.56,96050,0,032680,844,-87550,2,45,2.43,2,45,2.43,5,-145,-7.84,53096
11,20161028,1970,1995,1850,1850,5,110,-5.61,262337,50.37,34.09,4.71,0.85,-13579,3,032680,499,13576,2,10,0.51,2,35,1.79,5,-110,-5.61,56943
12,20161027,1940,1990,1885,1960,2,20,1.03,174459,-76.06,59.40,4.76,0.57,16163,-5230,032680,342,-11282,3,0,0.00,2,50,2.58,5,-55,-2.84,60329
13,20161026,2000,2010,1875,1940,5,80,-3.96,728754,219.12,40.54,4.70,2.37,30264,0,032680,1392,-30365,5,-20,-0.99,5,-10,-0.50,5,-145,-7.18,59714
14,20161025,2085,2115,1925,2020,5,55,-2.65,228364,67.46,74.93,4.61,0.74,21714,0,032680,462,-22240,2,10,0.48,2,40,1.93,5,-150,-7.23,62176
15,20161024,2065,2155,2065,2075,2,10,0.48,136373,1.83,74.47,4.54,0.44,-28033,0,032680,287,27718,3,0,0.00,2,90,4.36,3,0,0.00,63869
16,20161021,2040,2115,2035,2065,2,25,1.23,133927,-18.63,308.55,4.63,0.44,-5570,0,032680,279,4128,3,0,0.00,2,75,3.68,5,-5,-0.25,63561
17,20161020,2060,2110,2020,2040,5,35,-1.69,164587,-31.89,32.19,4.65,0.53,16026,0,032680,338,-16034,5,-15,-0.72,2,35,1.69,5,-55,-2.65,62792
18,20161019,2135,2160,2060,2075,5,50,-2.35,241665,89.18,22.58,4.59,0.79,-6963,0,032680,510,6959,2,10,0.47,2,35,1.65,5,-65,-3.06,63869
19,20161018,2160,2170,2110,2125,5,40,-1.85,127743,-2.91,41.70,4.62,0.42,-800,0,032680,272,800,5,-5,-0.23,2,5,0.23,5,-55,-2.54,65408
20,20161017,2175,2190,2140,2165,2,15,0.70,131569,-49.46,56.68,4.62,0.43,-6212,0,032680,284,6212,2,25,1.16,2,40,1.86,5,-10,-0.47,66639
21,20161014,2110,2195,2110,2150,5,20,-0.92,260329,29.16,82.07,4.64,0.85,37078,0,032680,558,-40576,5,-60,-2.76,2,25,1.15,5,-60,-2.76,66178
22,20161013,2235,2250,2145,2170,5,60,-2.69,201558,27.57,42.21,4.52,0.65,5933,0,032680,441,-5945,2,5,0.22,2,20,0.90,5,-85,-3.81,66793
23,20161012,2220,2240,2195,2230,2,10,0.45,158000,-13.34,41.88,4.50,0.51,25756,0,032680,350,-25825,3,0,0.00,2,20,0.90,5,-25,-1.13,68640
24,20161011,2210,2270,2170,2220,2,20,0.91,182327,-25.26,49.22,4.42,0.59,20601,0,032680,402,-37187,2,10,0.45,2,70,3.18,5,-30,-1.36,68332
25,20161010,2240,2250,2180,2200,5,30,-1.35,243935,16.24,33.70,4.35,0.79,51288,0,032680,537,-69072,2,10,0.45,2,20,0.90,5,-50,-2.24,67717
26,20161007,2260,2310,2230,2230,5,30,-1.33,209852,43.96,68.64,4.18,0.68,23580,0,032680,477,-24079,3,0,0.00,2,50,2.21,5,-30,-1.33,68640
27,20161006,2260,2305,2250,2260,5,10,-0.44,145768,-42.73,83.91,4.11,0.47,5005,0,032680,331,-6029,5,-10,-0.44,2,35,1.54,5,-20,-0.88,69563
28,20161005,2255,2300,2225,2270,2,20,0.89,254531,-40.04,76.87,4.09,0.83,31467,0,032680,577,-32196,2,5,0.22,2,50,2.22,5,-25,-1.11,69871
29,20161004,2320,2355,2250,2250,5,90,-3.85,424507,-10.33,42.34,3.99,1.38,-24530,0,032680,968,24198,5,-20,-0.85,2,15,0.64,5,-90,-3.85,69256
30,20160930,2365,2390,2260,2340,5,30,-1.27,473420,4.76,55.17,4.07,1.54,9549,0,032680,1088,-11589,5,-5,-0.21,2,20,0.84,5,-110,-4.64,72026
31,20160929,2420,2460,2365,2370,5,55,-2.27,451899,-73.73,41.66,4.04,1.47,-33935,0,032680,1080,33935,5,-5,-0.21,2,35,1.44,5,-60,-2.47,72949
32,20160928,2350,2490,2345,2425,2,80,3.41,1720127,140.37,106.47,4.15,5.59,-42753,0,032680,4170,42753,2,5,0.21,2,145,6.18,3,0,0.00,74642
33,20160927,2250,2355,2215,2345,2,60,2.63,715627,101.68,107.68,4.28,2.32,25491,0,032680,1633,-25771,5,-35,-1.53,2,70,3.06,5,-70,-3.06,72180
34,20160926,2380,2380,2280,2285,5,60,-2.56,354837,-28.80,53.74,4.20,1.15,-7344,0,032680,822,-20323,2,35,1.49,2,35,1.49,5,-65,-2.77,70333
35,20160923,2320,2380,2280,2345,2,25,1.08,498342,-70.71,64.45,4.23,1.62,-918,0,032680,1158,620,3,0,0.00,2,60,2.59,5,-40,-1.72,72180
36,20160922,2235,2405,2225,2320,2,120,5.45,1701556,328.73,173.85,4.23,5.53,47879,0,032680,3959,-73110,2,35,1.59,2,205,9.32,2,25,1.14,71410
37,20160921,2190,2215,2175,2200,2,15,0.69,396881,12.65,102.68,0,1.29,0,0,032680,871,-32427,2,5,0.23,2,30,1.37,5,-10,-0.46,67717
38,20160920,2145,2190,2140,2185,2,20,0.92,352301,-17.14,85.73,4.07,1.14,83838,0,032680,762,-83833,5,-20,-0.92,2,25,1.15,5,-25,-1.15,67255
