,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,1020,1030,1010,1025,3,0,0.00,139317,-45.24,119.23,1.45,0.19,10429,0,043340,142,-10429,5,-5,-0.49,2,5,0.49,5,-15,-1.46,73800
1,20161111,999,1025,986,1025,2,33,3.33,254406,140.87,224.43,1.45,0.35,21930,0,043340,257,-21930,2,7,0.71,2,33,3.33,5,-6,-0.60,73800
2,20161110,977,995,941,992,2,62,6.67,105619,-79.53,95.88,1.42,0.15,18136,0,043340,102,-18136,2,47,5.05,2,65,6.99,2,11,1.18,71424
3,20161109,995,1005,900,930,5,68,-6.81,515962,711.02,39.56,1.39,0.72,-31808,0,043340,491,31808,5,-3,-0.30,2,7,0.70,5,-98,-9.82,66960
4,20161108,1010,1010,989,998,2,4,0.40,63619,-29.07,13.73,1.44,0.09,-10684,0,043340,63,10683,2,16,1.61,2,16,1.61,5,-5,-0.50,71856
5,20161107,980,998,980,994,2,14,1.43,89696,22.95,156.52,1.45,0.12,16762,0,043340,89,-16762,3,0,0.00,2,18,1.84,3,0,0.00,71568
6,20161104,970,998,970,980,2,1,0.10,72953,-45.81,32.56,1.43,0.10,-9684,0,043340,71,9684,5,-9,-0.92,2,19,1.94,5,-9,-0.92,70560
7,20161103,940,1005,940,979,5,3,-0.31,134633,-52.44,97.05,1.45,0.19,-3934,0,043340,133,3934,5,-42,-4.28,2,23,2.34,5,-42,-4.28,70488
8,20161102,991,1015,976,982,5,8,-0.81,283055,26.67,34.07,1.46,0.39,-58292,0,043340,281,58292,2,1,0.10,2,25,2.53,5,-14,-1.41,70704
9,20161101,969,1005,969,990,2,20,2.06,223453,41.81,138.53,1.54,0.31,31264,0,043340,222,-31564,5,-1,-0.10,2,35,3.61,5,-1,-0.10,71280
10,20161031,985,1000,970,970,5,15,-1.52,157575,27.55,49.41,1.49,0.22,9958,0,043340,155,-9958,3,0,0.00,2,15,1.52,5,-15,-1.52,69840
11,20161028,1005,1015,985,985,5,20,-1.99,123538,-52.78,35.93,1.48,0.17,-15200,5,043340,123,15195,3,0,0.00,2,10,1.00,5,-20,-1.99,70920
12,20161027,941,1010,941,1005,2,35,3.61,261613,-45.94,175.12,1.50,0.36,87740,1,043340,257,-88697,5,-29,-2.99,2,40,4.12,5,-29,-2.99,72360
13,20161026,985,1000,950,970,5,45,-4.43,483907,103.61,69.00,1.38,0.67,35748,0,043340,472,-35748,5,-30,-2.96,5,-15,-1.48,5,-65,-6.40,69840
14,20161025,1020,1020,995,1015,3,0,0.00,237660,16.72,40.63,1.33,0.33,5706,0,043340,239,-5706,2,5,0.49,2,5,0.49,5,-20,-1.97,73080
15,20161024,1050,1050,1000,1015,5,35,-3.33,203616,-41.74,19.65,1.32,0.28,6896,0,043340,208,-6896,3,0,0.00,3,0,0.00,5,-50,-4.76,73080
16,20161021,1070,1070,1010,1050,5,10,-0.94,349518,174.85,46.80,1.31,0.49,42891,0,043340,361,-42891,2,10,0.94,2,10,0.94,5,-50,-4.72,75600
17,20161020,1070,1100,1060,1060,5,15,-1.40,127165,-74.79,51.88,1.25,0.18,689,0,043340,136,-439,5,-5,-0.47,2,25,2.33,5,-15,-1.40,76320
18,20161019,1060,1135,1050,1075,2,15,1.42,504391,74.30,93.39,1.25,0.70,1564,0,043340,548,-814,3,0,0.00,2,75,7.08,5,-10,-0.94,77400
19,20161018,1070,1090,1045,1060,5,10,-0.93,289373,56.13,70.96,1.25,0.40,65228,0,043340,306,-66231,3,0,0.00,2,20,1.87,5,-25,-2.34,76320
20,20161017,1120,1120,1070,1070,5,40,-3.60,185343,-30.58,28.23,1.16,0.26,1218,0,043340,203,-1218,2,10,0.90,2,10,0.90,5,-40,-3.60,77040
21,20161014,1090,1140,1090,1110,2,10,0.91,266995,-9.28,61.90,1.16,0.37,56577,0,043340,297,-56364,5,-10,-0.91,2,40,3.64,5,-10,-0.91,79920
22,20161013,1145,1145,1100,1100,5,35,-3.08,294311,51.32,29.08,1.08,0.41,-22023,0,043340,330,21989,2,10,0.88,2,10,0.88,5,-35,-3.08,79200
23,20161012,1145,1150,1120,1135,5,10,-0.87,194491,-74.69,42.90,1.11,0.27,21714,0,043340,220,-21751,3,0,0.00,2,5,0.44,5,-25,-2.18,81720
24,20161011,1195,1195,1130,1145,5,35,-2.97,768305,32.93,28.85,1.08,1.07,-51489,1,043340,884,51347,2,15,1.27,2,15,1.27,5,-50,-4.24,82440
25,20161010,1190,1230,1170,1180,5,10,-0.84,577984,44.62,80.78,1.15,0.80,-2610,0,043340,691,1764,3,0,0.00,2,40,3.36,5,-20,-1.68,84960
26,20161007,1235,1235,1175,1190,5,35,-2.86,399645,68.22,36.12,1.15,0.56,6884,0,043340,480,-6939,2,10,0.82,2,10,0.82,5,-50,-4.08,85680
27,20161006,1245,1245,1220,1225,3,0,0.00,237566,-47.88,40.04,1.14,0.33,11436,0,043340,292,-11436,2,20,1.63,2,20,1.63,5,-5,-0.41,88200
28,20161005,1250,1265,1215,1225,5,30,-2.39,455794,-34.93,45.42,1.13,0.63,-48372,0,043340,565,48169,5,-5,-0.40,2,10,0.80,5,-40,-3.19,88200
29,20161004,1220,1255,1205,1255,2,40,3.29,700445,68.70,131.25,1.20,0.97,61857,0,043340,868,-57857,2,5,0.41,2,40,3.29,5,-10,-0.82,90360
30,20160930,1250,1250,1205,1215,5,20,-1.62,415192,-50.16,41.59,1.11,0.58,-93077,0,043340,506,93077,2,15,1.21,2,15,1.21,5,-30,-2.43,87480
31,20160929,1200,1240,1180,1235,2,55,4.66,832977,145.70,150.14,1.24,1.16,113835,0,043340,1014,-114553,2,20,1.69,2,60,5.08,3,0,0.00,88920
32,20160928,1200,1215,1175,1180,5,20,-1.67,339026,-42.57,34.29,1.08,0.47,32041,0,043340,403,-32042,3,0,0.00,2,15,1.25,5,-25,-2.08,84960
33,20160927,1205,1215,1170,1200,5,20,-1.64,590292,93.24,61.36,1.04,0.82,-38386,0,043340,702,38386,5,-15,-1.23,5,-5,-0.41,5,-50,-4.10,86400
34,20160926,1240,1240,1200,1220,2,5,0.41,305475,-21.24,62.87,1.09,0.42,3035,0,043340,373,-3035,2,25,2.06,2,25,2.06,5,-15,-1.23,87840
