,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,6910,6980,6860,6870,3,0,0.00,838479,-36.39,107.36,18.25,0.34,-121245,113384,001740,5792,15333,2,40,0.58,2,110,1.60,5,-10,-0.15,1705049
1,20161111,6660,6870,6630,6870,2,170,2.54,1318227,58.37,175.63,18.26,0.53,160254,196334,001740,8975,-349249,5,-40,-0.60,2,170,2.54,5,-70,-1.04,1705049
2,20161110,6650,6740,6620,6700,2,200,3.08,832395,-60.10,104.06,18.19,0.34,-144960,144987,001740,5555,422,2,150,2.31,2,240,3.69,2,120,1.85,1662857
3,20161109,6860,6860,6330,6500,5,320,-4.69,2086456,228.56,103.33,18.25,0.84,-87227,251417,001740,13646,-164266,2,40,0.59,2,40,0.59,5,-490,-7.18,1613220
4,20161108,6890,6910,6770,6820,5,40,-0.58,635033,-29.90,71.37,18.27,0.26,-116889,140808,001740,4334,-24021,2,30,0.44,2,50,0.73,5,-90,-1.31,1692640
5,20161107,6770,6870,6730,6860,2,110,1.63,905874,22.09,223.69,18.31,0.36,-74041,256258,001740,6179,-170497,2,20,0.30,2,120,1.78,5,-20,-0.30,1702567
6,20161104,6700,6780,6610,6750,2,80,1.20,742001,-2.32,155.11,18.34,0.30,-87361,215956,001740,4972,-128741,2,30,0.45,2,110,1.65,5,-60,-0.90,1675267
7,20161103,6530,6740,6490,6670,2,140,2.14,759621,-1.81,181.96,18.37,0.31,-98132,250331,001740,5043,-152648,3,0,0.00,2,210,3.22,5,-40,-0.61,1655412
8,20161102,6650,6650,6460,6530,5,130,-1.95,773593,-41.28,121.66,18.41,0.31,-84721,180962,001740,5059,-98052,5,-10,-0.15,5,-10,-0.15,5,-200,-3.00,1620665
9,20161101,6550,6720,6410,6660,2,140,2.15,1317448,136.67,76.28,18.45,0.53,266257,28612,001740,8686,-287498,2,30,0.46,2,200,3.07,5,-110,-1.69,1652930
