,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,24500,24700,24100,24400,3,0,0.00,462539,-29.17,53.14,12.48,1.81,39197,-40072,054620,11292,804,2,100,0.41,2,300,1.23,5,-300,-1.23,624883
1,20161111,24550,25200,24000,24400,5,550,-2.20,653029,-26.18,69.87,12.48,2.55,54945,-43432,054620,16054,-13161,5,-400,-1.60,2,250,1.00,5,-950,-3.81,624883
2,20161110,25700,25750,24350,24950,2,50,0.20,884576,-59.55,51.54,12.26,3.45,-75717,-30905,054620,22095,104613,2,800,3.21,2,850,3.41,5,-550,-2.21,638969
3,20161109,26050,26100,23950,24900,5,1100,-4.23,2186757,113.70,82.67,12.59,8.54,-93694,70371,054620,54272,29426,2,50,0.19,2,100,0.38,5,-2050,-7.88,637688
4,20161108,25800,26100,25200,26000,5,100,-0.38,1023299,22.21,91.87,12.97,4.00,2279,20985,054620,26351,-12635,5,-300,-1.15,3,0,0.00,5,-900,-3.45,665859
5,20161107,25250,26300,25200,26100,2,1400,5.67,837297,107.18,130.11,12.96,3.27,146478,7299,054620,21674,-152233,2,550,2.23,2,1600,6.48,2,500,2.02,668420
6,20161104,24800,25300,24600,24700,5,250,-1.00,404140,-37.87,59.24,12.33,1.58,15133,31973,054620,10054,-40143,5,-150,-0.60,2,350,1.40,5,-350,-1.40,632566
7,20161103,24650,25600,24400,24950,2,300,1.22,650423,-22.95,103.89,12.27,2.54,14618,-4614,054620,16303,-25153,3,0,0.00,2,950,3.85,5,-250,-1.01,638969
8,20161102,25900,26350,24550,24650,5,1350,-5.19,844207,43.25,47.84,12.21,3.30,-41100,27500,054620,21481,17152,5,-100,-0.38,2,350,1.35,5,-1450,-5.58,631286
9,20161101,26050,26250,25450,26000,5,100,-0.38,589306,-37.00,96.65,12.37,2.30,-87813,65269,054620,15256,30396,5,-50,-0.19,2,150,0.57,5,-650,-2.49,665859
10,20161031,25650,26500,25650,26100,2,350,1.36,935436,-26.24,116.57,12.57,3.65,34481,81455,054620,24435,-113629,5,-100,-0.39,2,750,2.91,5,-100,-0.39,668420
11,20161028,25600,26100,25100,25750,2,250,0.98,1268183,-18.02,134.80,12.42,4.95,166254,18087,054620,32648,-181200,2,100,0.39,2,600,2.35,5,-400,-1.57,659456
12,20161027,23950,25500,23750,25500,2,1600,6.69,1546993,146.16,212.69,11.85,6.04,150608,319876,054620,38651,-470623,2,50,0.21,2,1600,6.69,5,-150,-0.63,653054
13,20161026,23800,24100,23150,23900,3,0,0.00,628439,-21.81,97.56,11.26,2.45,-9143,59528,054620,14862,-44750,5,-100,-0.42,2,200,0.84,5,-750,-3.14,612078
14,20161025,23550,24000,22700,23900,2,450,1.92,803687,6.33,80.99,11.30,3.14,27248,-9322,054620,18794,-29319,2,100,0.43,2,550,2.35,5,-750,-3.20,612078
15,20161024,23850,24450,23250,23450,5,150,-0.64,755843,-16.81,55.76,11.19,2.95,-79658,-12498,054620,17953,88568,2,250,1.06,2,850,3.60,5,-350,-1.48,600554
16,20161021,24350,24650,23500,23600,5,800,-3.28,908524,42.22,38.98,11.53,3.55,-124,-42786,054620,21598,49161,5,-50,-0.20,2,250,1.02,5,-900,-3.69,604395
17,20161020,25150,25150,24300,24400,5,600,-2.40,638819,-60.58,50.92,11.49,2.49,-46657,14131,054620,15774,34941,2,150,0.60,2,150,0.60,5,-700,-2.80,624883
18,20161019,24750,25950,24700,25000,2,600,2.46,1620706,230.51,101.28,11.66,6.33,33556,29654,054620,41152,-49949,2,350,1.43,2,1550,6.35,2,300,1.23,640249
19,20161018,24300,24800,24100,24400,2,100,0.41,490360,-77.26,104.52,11.72,1.91,9938,33576,054620,11989,-47150,3,0,0.00,2,500,2.06,5,-200,-0.82,624883
20,20161017,25600,25600,23500,24300,5,1150,-4.52,2156056,15.94,78.85,11.68,8.42,-429307,79262,054620,52344,381228,2,150,0.59,2,150,0.59,5,-1950,-7.66,622322
21,20161014,23750,25800,23700,25450,2,1900,8.07,1859668,111.44,180.87,13.37,7.26,236487,62663,054620,46569,-308241,2,200,0.85,2,2250,9.55,2,150,0.64,651774
22,20161013,24300,24850,23500,23550,5,750,-3.09,879515,49.87,73.07,12.63,3.43,-20686,48316,054620,21073,-31201,3,0,0.00,2,550,2.26,5,-800,-3.29,603115
23,20161012,24050,24400,23700,24300,3,0,0.00,586862,-66.85,63.21,12.75,2.29,3723,-45656,054620,14100,47822,5,-250,-1.03,2,100,0.41,5,-600,-2.47,622322
24,20161011,23100,25050,23100,24300,2,750,3.18,1770528,53.79,129.46,12.81,6.91,141788,-20169,054620,43071,-114646,5,-450,-1.91,2,1500,6.37,5,-450,-1.91,622322
25,20161010,24950,25000,23550,23550,5,1550,-6.18,1151265,7.74,47.61,12.25,4.50,-109305,-51217,054620,27741,161733,5,-150,-0.60,5,-100,-0.40,5,-1550,-6.18,603115
26,20161007,24400,25300,24050,25100,2,850,3.51,1068550,37.17,138.89,12.73,4.17,115779,34476,054620,26582,-143885,2,150,0.62,2,1050,4.33,5,-200,-0.82,642810
27,20161006,24750,24750,23850,24250,5,400,-1.62,778981,-7.46,51.71,12.28,3.04,2743,40544,054620,18838,-11512,2,100,0.41,2,100,0.41,5,-800,-3.25,621042
28,20161005,24550,24750,23850,24650,2,100,0.41,841735,3.11,92.12,12.31,3.29,22903,53556,054620,20561,-73335,3,0,0.00,2,200,0.81,5,-700,-2.85,631286
29,20161004,24700,25100,24250,24550,2,50,0.20,816371,-41.67,110.20,12.49,3.19,150492,-13083,054620,20178,-144511,2,200,0.82,2,600,2.45,5,-250,-1.02,628725
30,20160930,24450,25000,24200,24500,2,100,0.41,1399672,-19.84,109.54,11.92,5.47,316926,-80469,054620,34484,-251920,2,50,0.20,2,600,2.46,5,-200,-0.82,627444
31,20160929,24000,24600,23600,24400,2,850,3.61,1746005,8.81,130.20,10.86,6.82,177986,84782,054620,42199,-259137,2,450,1.91,2,1050,4.46,2,50,0.21,624883
32,20160928,23750,24450,23450,23550,5,250,-1.05,1604669,26.63,124.19,10.16,6.27,-21943,165668,054620,38464,-121282,5,-50,-0.21,2,650,2.73,5,-350,-1.47,603115
33,20160927,23400,24000,22900,23800,2,300,1.28,1267257,-19.76,113.35,10.33,4.95,-156481,136506,054620,29792,36983,5,-100,-0.43,2,500,2.13,5,-600,-2.55,609517
34,20160926,22800,23700,22350,23500,2,800,3.52,1579384,8.98,169.12,11.16,6.17,-42563,200872,054620,36587,-164196,2,100,0.44,2,1000,4.41,5,-350,-1.54,601834
35,20160923,23150,23350,22600,22700,5,600,-2.58,1449286,-67.28,59.96,11.33,5.66,27100,15560,054620,33183,-43822,5,-150,-0.64,2,50,0.21,5,-700,-3.00,581346
36,20160922,21150,23350,20900,23300,2,2650,12.83,4429057,530.46,195.06,11.21,17.29,375126,281297,054620,98567,-689325,2,500,2.42,2,2700,13.08,2,250,1.21,596712
37,20160921,20750,21200,20550,20650,2,100,0.49,702515,15.80,144.39,0,2.74,0,98492,054620,14646,-81751,2,200,0.97,2,650,3.16,3,0,0.00,528846
38,20160920,20550,20850,20300,20550,3,0,0.00,606656,8.95,137.01,9.93,2.37,-37499,126657,054620,12493,-67236,3,0,0.00,2,300,1.46,5,-250,-1.22,526285
39,20160919,20500,20700,20200,20550,2,100,0.49,556826,-46.23,84.00,9.93,2.17,-18943,24814,054620,11402,-1355,2,50,0.24,2,250,1.22,5,-250,-1.22,526285
40,20160913,19500,20450,19300,20450,2,1300,6.79,1035527,88.63,219.27,10.04,4.04,157112,114531,054620,20764,-272919,2,350,1.83,2,1300,6.79,2,150,0.78,523724
41,20160912,18700,19550,18600,19150,5,150,-0.78,548974,23.84,88.87,9.36,2.14,78693,-11558,054620,10526,-72497,5,-600,-3.11,2,250,1.30,5,-700,-3.63,490431
42,20160909,19150,19550,19000,19300,2,50,0.26,443278,-58.40,64.47,8.98,1.73,22171,-53973,054620,8528,32052,5,-100,-0.52,2,300,1.56,5,-250,-1.30,494272
43,20160908,19700,20250,19100,19250,5,250,-1.28,1065569,40.27,86.70,8.90,4.16,-228704,1440,054620,20747,231523,2,200,1.03,2,750,3.85,5,-400,-2.05,492992
44,20160907,20200,20300,19300,19500,5,650,-3.23,759650,-11.69,67.70,9.70,2.97,-27661,44404,054620,14978,-18563,2,50,0.25,2,150,0.74,5,-850,-4.22,499394
45,20160906,21050,21300,20000,20150,5,700,-3.36,860220,-13.44,71.16,9.78,3.36,-109454,-8681,054620,17765,116429,2,200,0.96,2,450,2.16,5,-850,-4.08,516041
46,20160905,20750,21300,20350,20850,2,150,0.72,993776,-64.33,82.51,10.21,3.88,10232,-29854,054620,20711,14768,2,50,0.24,2,600,2.90,5,-350,-1.69,533968
47,20160902,19700,21150,19500,20700,2,950,4.81,2785801,318.49,152.57,10.14,10.88,112926,312751,054620,57639,-495040,5,-50,-0.25,2,1400,7.09,5,-250,-1.27,530126
48,20160901,19200,19900,19050,19750,2,300,1.54,665683,-13.13,163.43,9.68,2.60,-12266,102143,054620,13086,-113735,5,-250,-1.29,2,450,2.31,5,-400,-2.06,505797
49,20160831,19250,19450,18800,19450,5,50,-0.26,766321,-28.81,87.61,9.73,2.99,-65879,77471,054620,14643,-18319,5,-250,-1.28,5,-50,-0.26,5,-700,-3.59,498114
50,20160830,18500,19600,18450,19500,2,1300,7.14,1076485,67.09,230.89,9.95,4.20,-15084,169224,054620,20651,-172243,2,300,1.65,2,1400,7.69,2,250,1.37,499394
51,20160829,18550,18850,18050,18200,5,600,-3.19,644243,-0.82,54.58,9.98,2.52,-3212,24187,054620,11849,-18897,5,-250,-1.33,2,50,0.27,5,-750,-3.99,466101
52,20160826,19300,19350,18800,18800,5,450,-2.34,649566,-14.87,56.79,9.98,2.54,-66370,-97047,054620,12314,160643,2,50,0.26,2,100,0.52,5,-450,-2.34,481467
53,20160825,20100,20200,19200,19250,5,700,-3.51,763009,-18.41,96.02,10.22,2.98,-122521,41125,054620,15035,94601,2,150,0.75,2,250,1.25,5,-750,-3.76,492992
54,20160824,19450,20150,19200,19950,2,650,3.37,935173,63.70,224.29,10.69,3.65,-114338,240424,054620,18494,-125567,2,150,0.78,2,850,4.40,5,-100,-0.52,510919
55,20160823,18950,19600,18950,19300,2,400,2.12,571285,-4.23,99.16,11.14,2.23,-39451,73038,054620,10994,-31248,2,50,0.26,2,700,3.70,2,50,0.26,494272
56,20160822,19700,19700,18900,18900,5,550,-2.83,596512,-44.27,50.41,11.41,2.33,-25777,-31464,054620,11460,48308,2,250,1.29,2,250,1.29,5,-550,-2.83,484028
57,20160819,20250,20400,19450,19450,5,850,-4.19,1070344,-23.48,82.29,11.51,4.18,-150976,161944,054620,21274,45729,5,-50,-0.25,2,100,0.49,5,-850,-4.19,498114
58,20160818,19300,20500,18900,20300,2,800,4.10,1398741,-9.76,129.88,12.10,5.46,62002,-2302,054620,27643,-73618,5,-200,-1.03,2,1000,5.13,5,-600,-3.08,519882
59,20160817,19650,20000,18800,19500,5,350,-1.76,1549960,36.52,71.76,11.86,6.05,-5685,-45498,054620,29947,64551,5,-200,-1.01,2,150,0.76,5,-1050,-5.29,499394
