,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,1320,1335,1285,1315,3,0,0.00,1019630,-42.26,97.31,40.49,1.13,-16075,-49937,900180,1338,66012,2,5,0.38,2,20,1.52,5,-30,-2.28,118466
1,20161111,1230,1315,1220,1315,2,100,8.23,1766006,243.82,88.52,40.49,1.96,133869,-100000,900180,2248,-24140,2,15,1.23,2,100,8.23,2,5,0.41,118466
2,20161110,1180,1220,1180,1215,2,60,5.19,513642,-66.92,99.46,40.37,0.57,180241,-30000,900180,617,-150241,2,25,2.16,2,65,5.63,2,25,2.16,109457
3,20161109,1220,1240,1130,1155,5,65,-5.33,1552776,177.12,45.57,40.17,1.72,-36980,0,900180,1815,36880,3,0,0.00,2,20,1.64,5,-90,-7.38,104052
4,20161108,1220,1245,1210,1220,5,10,-0.81,560333,-29.64,59.69,40.21,0.62,-3423,0,900180,685,3343,5,-10,-0.81,2,15,1.22,5,-20,-1.63,109908
5,20161107,1225,1255,1200,1230,2,5,0.41,796428,16.39,63.23,40.21,0.88,-84006,0,900180,980,83906,3,0,0.00,2,30,2.45,5,-25,-2.04,110809
6,20161104,1170,1230,1165,1225,2,50,4.26,684293,71.88,123.40,40.30,0.76,40567,-78977,900180,820,37790,5,-5,-0.43,2,55,4.68,5,-10,-0.85,110358
7,20161103,1150,1185,1150,1175,2,20,1.73,398128,-46.32,114.60,40.26,0.44,68721,0,900180,466,-68721,5,-5,-0.43,2,30,2.60,5,-5,-0.43,105854
8,20161102,1205,1205,1155,1155,5,50,-4.15,741635,0.49,27.77,40.18,0.82,24315,0,900180,868,-25825,3,0,0.00,3,0,0.00,5,-50,-4.15,104052
9,20161101,1160,1215,1160,1205,2,30,2.55,738004,14.39,79.09,40.16,0.82,165242,-100000,900180,881,-65242,5,-15,-1.28,2,40,3.40,5,-15,-1.28,108556
10,20161031,1200,1215,1155,1175,5,30,-2.49,645187,-32.78,32.97,39.97,0.72,20427,0,900180,758,-20127,5,-5,-0.41,2,10,0.83,5,-50,-4.15,105854
11,20161028,1230,1230,1185,1205,5,25,-2.03,959808,9.84,57.09,39.95,1.07,-57738,0,900180,1150,57338,3,0,0.00,3,0,0.00,5,-45,-3.66,108556
12,20161027,1230,1265,1225,1230,5,10,-0.81,873785,-61.78,112.51,40.01,0.97,-140340,-4200,900180,1087,148121,5,-10,-0.81,2,25,2.02,5,-15,-1.21,110809
13,20161026,1180,1285,1160,1240,2,50,4.20,2285925,-10.31,85.41,40.17,2.54,-172923,0,900180,2774,172763,5,-10,-0.84,2,95,7.98,5,-30,-2.52,111709
14,20161025,1210,1230,1135,1190,5,20,-1.65,2548597,-56.93,69.73,40.36,2.83,-74742,-18000,900180,3004,92802,3,0,0.00,2,20,1.65,5,-75,-6.20,107205
15,20161024,1300,1300,1150,1210,5,100,-7.63,5917627,197.29,82.09,40.44,6.57,-513510,-2000,900180,7106,714674,5,-10,-0.76,5,-10,-0.76,5,-160,-12.21,109007
16,20161021,1380,1385,1300,1310,5,80,-5.76,1990525,63.45,48.39,41.01,2.21,-424768,0,900180,2661,424768,5,-10,-0.72,5,-5,-0.36,5,-90,-6.47,118016
17,20161020,1420,1420,1375,1390,5,25,-1.77,1217821,60.03,41.32,41.49,1.35,-244061,-5256,900180,1696,254737,2,5,0.35,2,5,0.35,5,-40,-2.83,125223
18,20161019,1425,1440,1410,1415,5,10,-0.70,761013,-67.12,91.10,41.76,0.84,-248986,0,900180,1081,248987,3,0,0.00,2,15,1.05,5,-15,-1.05,127475
19,20161018,1470,1505,1425,1425,5,10,-0.70,2314866,579.55,57.00,42.03,2.57,-812875,-240124,900180,3375,1045498,2,35,2.44,2,70,4.88,5,-10,-0.70,128376
20,20161017,1430,1445,1415,1435,2,5,0.35,340647,-41.51,56.94,42.94,0.38,-50510,-3575,900180,486,54145,3,0,0.00,2,15,1.05,5,-15,-1.05,129277
21,20161014,1455,1470,1420,1430,5,30,-2.05,582424,-28.09,26.03,42.99,0.65,-65329,-50000,900180,839,115326,5,-5,-0.34,2,10,0.68,5,-40,-2.74,128826
22,20161013,1505,1510,1460,1460,5,50,-3.31,809885,-21.56,35.13,43.06,0.90,-199364,-10000,900180,1202,208858,5,-5,-0.33,3,0,0.00,5,-50,-3.31,131529
23,20161012,1465,1510,1465,1510,2,45,3.07,1032555,167.04,107.28,43.29,1.15,-122422,-20000,900180,1534,140532,3,0,0.00,2,45,3.07,3,0,0.00,136033
24,20161011,1455,1480,1450,1465,2,5,0.34,386668,-10.93,57.03,43.42,0.43,22198,-10000,900180,566,-12398,5,-5,-0.34,2,20,1.37,5,-10,-0.68,131979
