,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,2140,2140,2095,2110,3,0,0.00,118170,-31.20,94.16,2.89,0.36,7310,0,054940,250,-5694,2,30,1.42,2,30,1.42,5,-15,-0.71,69996
1,20161111,2115,2155,2090,2110,5,5,-0.24,171749,-26.02,57.32,2.89,0.52,-2851,0,054940,364,2851,3,0,0.00,2,40,1.89,5,-25,-1.18,69996
2,20161110,2090,2120,2055,2115,2,105,5.22,232153,-58.58,71.87,2.90,0.70,13326,0,054940,484,-3403,2,80,3.98,2,110,5.47,2,45,2.24,70162
3,20161109,2150,2150,1915,2010,5,140,-6.51,560517,169.99,41.74,2.86,1.69,-65499,0,054940,1124,55429,3,0,0.00,3,0,0.00,5,-235,-10.93,66679
4,20161108,2145,2150,2080,2150,2,35,1.65,207609,-13.85,63.84,3.05,0.63,-37175,0,054940,438,37165,2,30,1.42,2,35,1.65,5,-35,-1.65,71323
5,20161107,2010,2120,2005,2115,2,135,6.82,240972,97.65,219.73,3.17,0.73,48961,0,054940,500,-43451,2,30,1.52,2,140,7.07,2,25,1.26,70162
6,20161104,2015,2045,1980,1980,5,35,-1.74,121921,-35.70,41.05,3.02,0.37,-4946,-2,054940,245,4943,3,0,0.00,2,30,1.49,5,-35,-1.74,65684
7,20161103,1920,2015,1920,2015,2,40,2.03,189609,-28.67,101.24,3.03,0.57,36363,0,054940,376,-38573,5,-55,-2.78,2,40,2.03,5,-55,-2.78,66845
8,20161102,2080,2080,1960,1975,5,105,-5.05,265804,-2.75,24.59,2.92,0.80,13796,1,054940,534,-18104,3,0,0.00,3,0,0.00,5,-120,-5.77,65518
9,20161101,2075,2145,2055,2080,5,45,-2.12,273329,34.05,41.84,2.88,0.82,4819,1,054940,572,-957,5,-50,-2.35,2,20,0.94,5,-70,-3.29,69001
10,20161031,2150,2150,2085,2125,5,35,-1.62,203901,14.29,37.96,2.87,0.61,10202,1,054940,429,-6009,5,-10,-0.46,5,-10,-0.46,5,-75,-3.47,70494
11,20161028,2210,2220,2160,2160,5,25,-1.14,178411,-42.10,50.10,2.84,0.54,-15045,2,054940,389,40043,2,25,1.14,2,35,1.60,5,-25,-1.14,71655
12,20161027,2070,2230,2070,2185,2,95,4.55,308158,-31.34,145.97,2.88,0.93,52420,0,054940,674,-41815,5,-20,-0.96,2,140,6.70,5,-20,-0.96,72484
13,20161026,2150,2200,2055,2090,5,95,-4.35,448850,20.96,36.64,2.72,1.35,61133,4800,054940,945,-69746,5,-35,-1.60,2,15,0.69,5,-130,-5.95,69333
14,20161025,2260,2300,2180,2185,5,90,-3.96,371065,135.78,36.37,2.54,1.12,10038,-1282,054940,823,-3039,5,-15,-0.66,2,25,1.10,5,-95,-4.18,72484
15,20161024,2290,2325,2260,2275,2,5,0.22,157375,-19.47,46.71,2.51,0.47,-246,0,054940,361,330,2,20,0.88,2,55,2.42,5,-10,-0.44,75470
16,20161021,2300,2325,2265,2270,5,55,-2.37,195432,13.42,27.43,2.51,0.59,-40,0,054940,447,-4,5,-25,-1.08,3,0,0.00,5,-60,-2.58,75304
17,20161020,2340,2385,2290,2325,5,5,-0.21,172313,-2.24,96.44,2.51,0.52,-11136,0,054940,402,11136,2,10,0.43,2,55,2.36,5,-40,-1.72,77128
18,20161019,2310,2350,2270,2330,2,15,0.65,176256,9.37,57.05,2.54,0.53,1521,0,054940,408,-1690,5,-5,-0.22,2,35,1.51,5,-45,-1.94,77294
19,20161018,2355,2360,2300,2315,5,45,-1.91,161161,-2.94,33.48,2.54,0.49,5048,0,054940,374,-5280,5,-5,-0.21,3,0,0.00,5,-60,-2.54,76797
20,20161017,2380,2380,2330,2360,2,15,0.64,166050,-22.16,45.20,2.52,0.50,-4894,0,054940,389,4723,2,35,1.49,2,35,1.49,5,-15,-0.64,78290
21,20161014,2325,2355,2320,2345,2,10,0.43,213322,7.77,36.46,2.48,0.64,33207,0,054940,498,-33488,5,-10,-0.43,2,20,0.86,5,-15,-0.64,77792
22,20161013,2330,2370,2320,2335,2,5,0.21,197933,-43.49,53.36,2.38,0.60,30279,0,054940,462,-30014,3,0,0.00,2,40,1.72,5,-10,-0.43,77460
23,20161012,2400,2425,2325,2330,5,70,-2.92,350244,58.78,43.64,2.29,1.06,28348,0,054940,827,-28355,3,0,0.00,2,25,1.04,5,-75,-3.12,77294
24,20161011,2405,2460,2385,2400,5,15,-0.62,220585,35.81,48.96,2.20,0.66,-15463,0,054940,532,46021,5,-10,-0.41,2,45,1.86,5,-30,-1.24,79617
25,20161010,2405,2425,2395,2415,2,15,0.62,162417,-41.65,53.17,2.25,0.49,11465,0,054940,391,-12411,2,5,0.21,2,25,1.04,5,-5,-0.21,80114
26,20161007,2420,2435,2375,2400,3,0,0.00,278337,-10.83,50.90,2.21,0.84,21205,0,054940,668,-4681,2,20,0.83,2,35,1.46,5,-25,-1.04,79617
27,20161006,2485,2485,2400,2400,5,70,-2.83,312140,6.46,42.36,2.15,0.94,7527,0,054940,760,29146,2,15,0.61,2,15,0.61,5,-70,-2.83,79617
28,20161005,2445,2470,2410,2470,2,55,2.28,293199,-43.75,82.71,2.13,0.88,-7696,0,054940,715,12330,2,30,1.24,2,55,2.28,5,-5,-0.21,81939
29,20161004,2465,2500,2380,2415,5,40,-1.63,521208,-33.70,34.94,2.15,1.57,17004,4200,054940,1267,-23917,2,10,0.41,2,45,1.83,5,-75,-3.05,80114
30,20160930,2535,2570,2445,2455,5,120,-4.66,786185,34.23,36.58,2.10,2.37,-22249,0,054940,1943,-67960,5,-40,-1.55,5,-5,-0.19,5,-130,-5.05,81441
31,20160929,2580,2610,2540,2575,5,20,-0.77,585692,-77.15,62.24,2.17,1.77,-36688,0,054940,1508,30776,5,-15,-0.58,2,15,0.58,5,-55,-2.12,85422
