,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,13750,13800,13450,13700,3,0,0.00,231449,42.19,51.14,3.55,0.40,-6136,3810,046890,3152,2416,2,50,0.36,2,100,0.73,5,-250,-1.82,798784
1,20161111,13550,13750,13500,13700,2,50,0.37,162771,-51.59,76.43,3.55,0.28,18841,17321,046890,2219,-35972,5,-100,-0.73,2,100,0.73,5,-150,-1.10,798784
2,20161110,13500,13700,13350,13650,2,450,3.41,336224,-60.83,106.06,3.51,0.58,38207,-33570,046890,4555,-4884,2,300,2.27,2,500,3.79,2,150,1.14,795869
3,20161109,13950,13950,12950,13200,5,650,-4.69,858311,269.15,62.43,3.45,1.47,52793,86705,046890,11414,-139846,2,100,0.72,2,100,0.72,5,-900,-6.50,769631
4,20161108,14000,14050,13800,13850,3,0,0.00,232512,-0.51,83.99,3.28,0.40,-21137,-4887,046890,3230,26016,2,150,1.08,2,200,1.44,5,-50,-0.36,807530
5,20161107,13850,13950,13650,13850,3,0,0.00,233711,-5.35,124.56,3.32,0.40,-48192,11605,046890,3229,36403,3,0,0.00,2,100,0.72,5,-200,-1.44,807530
6,20161104,13750,13950,13750,13850,2,50,0.36,246909,-29.30,108.61,3.40,0.42,-15300,13792,046890,3417,1089,5,-50,-0.36,2,150,1.09,5,-50,-0.36,807530
7,20161103,13600,14000,13600,13800,2,50,0.36,349253,0.61,75.20,3.41,0.60,16819,69297,046890,4845,-85905,5,-150,-1.09,2,250,1.82,5,-150,-1.09,804615
8,20161102,13700,14100,13700,13750,3,0,0.00,347144,9.02,77.13,3.38,0.60,35295,28478,046890,4814,-63423,5,-50,-0.36,2,350,2.55,5,-50,-0.36,801699
9,20161101,13750,14050,13700,13750,2,50,0.36,318432,-28.81,101.54,3.32,0.55,-73104,-4667,046890,4409,77899,2,50,0.36,2,350,2.55,3,0,0.00,801699
10,20161031,14300,14300,13700,13700,5,450,-3.18,447313,84.36,48.92,3.43,0.77,-49575,7812,046890,6212,37364,2,150,1.06,2,150,1.06,5,-450,-3.18,798784
11,20161028,14600,14600,14150,14150,5,300,-2.08,242626,35.83,61.85,3.51,0.42,-69563,-11573,046890,3462,81220,2,150,1.04,2,150,1.04,5,-300,-2.08,825021
12,20161027,14350,14600,14350,14450,3,0,0.00,178621,-20.20,89.99,3.61,0.31,-28296,-13467,046890,2584,42014,5,-100,-0.69,2,150,1.04,5,-100,-0.69,842513
13,20161026,14550,14600,14150,14450,5,100,-0.69,223833,-33.45,63.41,3.65,0.38,-25580,27913,046890,3210,-1779,3,0,0.00,2,50,0.34,5,-400,-2.75,842513
14,20161025,14300,14750,14300,14550,2,250,1.75,336327,134.94,128.88,3.70,0.58,-7525,30117,046890,4896,-22745,3,0,0.00,2,450,3.15,3,0,0.00,848344
15,20161024,14200,14400,14150,14300,2,100,0.70,143156,-20.67,64.09,3.71,0.25,-5342,12678,046890,2040,-6773,3,0,0.00,2,200,1.41,5,-50,-0.35,833767
16,20161021,14100,14350,14100,14200,3,0,0.00,180466,-35.81,63.22,3.72,0.31,-4339,-14619,046890,2567,19084,5,-100,-0.70,2,150,1.06,5,-100,-0.70,827937
17,20161020,14450,14500,14100,14200,5,200,-1.39,281149,29.24,37.73,3.73,0.48,-32172,-3563,046890,4001,35730,2,50,0.35,2,100,0.69,5,-300,-2.08,827937
