,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,1600,1650,1585,1600,3,0,0.00,301857,-47.98,53.16,1.53,0.84,-8631,0,053110,486,2920,3,0,0.00,2,50,3.12,5,-15,-0.94,57185
1,20161111,1610,1640,1570,1600,2,10,0.63,580310,-46.50,105.96,1.53,1.62,-12633,-3,053110,932,12636,2,20,1.26,2,50,3.14,5,-20,-1.26,57185
2,20161110,1660,1760,1560,1590,5,25,-1.55,1084699,-28.37,85.03,1.55,3.03,-99303,0,053110,1780,129794,2,45,2.79,2,145,8.98,5,-55,-3.41,56828
3,20161109,1595,1680,1425,1615,2,65,4.19,1514348,8.14,58.87,1.89,4.24,-95320,0,053110,2389,42477,2,45,2.90,2,130,8.39,5,-125,-8.06,57721
4,20161108,1530,1640,1480,1550,2,45,2.99,1400350,632.70,74.89,2.15,3.92,-16717,0,053110,2199,17293,2,25,1.66,2,135,8.97,5,-25,-1.66,55398
5,20161107,1475,1530,1455,1505,2,30,2.03,191121,-39.61,105.43,2.19,0.53,4519,0,053110,287,-4852,3,0,0.00,2,55,3.73,5,-20,-1.36,53790
6,20161104,1425,1495,1425,1475,2,55,3.87,316470,48.21,71.93,2.18,0.89,-758,-2,053110,461,-1638,2,5,0.35,2,75,5.28,2,5,0.35,52718
7,20161103,1465,1500,1400,1420,5,30,-2.07,213525,-57.90,46.55,2.18,0.60,4386,0,053110,308,8981,2,15,1.03,2,50,3.45,5,-50,-3.45,50752
8,20161102,1410,1565,1395,1450,2,40,2.84,507157,47.67,91.83,2.17,1.42,-5692,1,053110,754,19308,3,0,0.00,2,155,10.99,5,-15,-1.06,51824
9,20161101,1440,1480,1400,1410,5,40,-2.76,343428,-15.84,43.79,2.18,0.96,46667,2,053110,488,-46669,5,-10,-0.69,2,30,2.07,5,-50,-3.45,50394
10,20161031,1545,1570,1430,1450,5,100,-6.45,408064,13.73,86.43,2.05,1.14,-35292,0,053110,606,35796,5,-5,-0.32,2,20,1.29,5,-120,-7.74,51824
11,20161028,1500,1560,1500,1550,2,30,1.97,358812,-32.29,115.34,2.15,1.00,-5684,2,053110,549,7682,5,-20,-1.32,2,40,2.63,5,-20,-1.32,55398
12,20161027,1500,1580,1490,1520,2,20,1.33,529927,-78.15,93.03,2.17,1.48,-6736,0,053110,811,7935,3,0,0.00,2,80,5.33,5,-10,-0.67,54326
13,20161026,1435,1650,1360,1500,2,100,7.14,2424786,124.54,91.59,2.18,6.78,64891,0,053110,3690,-41561,2,35,2.50,2,250,17.86,5,-40,-2.86,53611
14,20161025,1495,1505,1380,1400,5,120,-7.89,1079902,97.01,54.72,2.00,3.02,119141,2,053110,1533,-112832,5,-25,-1.64,5,-15,-0.99,5,-140,-9.21,50037
15,20161024,1595,1635,1520,1520,5,75,-4.70,548148,28.20,44.31,1.67,1.53,13648,0,053110,849,-14089,3,0,0.00,2,40,2.51,5,-75,-4.70,54326
16,20161021,1590,1600,1560,1595,2,5,0.31,427559,47.65,103.37,1.63,1.20,26935,0,053110,672,-26998,3,0,0.00,2,10,0.63,5,-30,-1.89,57007
17,20161020,1620,1660,1585,1590,5,45,-2.75,289579,-45.95,29.77,1.56,0.81,-4458,0,053110,467,4358,5,-15,-0.92,2,25,1.53,5,-50,-3.06,56828
18,20161019,1645,1650,1575,1635,5,10,-0.61,535783,-26.75,69.50,1.57,1.50,46785,0,053110,863,-46785,3,0,0.00,2,5,0.30,5,-70,-4.26,58436
19,20161018,1710,1800,1645,1645,5,85,-4.91,731395,-16.38,28.92,1.43,2.05,-169,0,053110,1232,-765,5,-20,-1.16,2,70,4.05,5,-85,-4.91,58794
20,20161017,1795,1845,1690,1730,5,65,-3.62,874678,217.27,68.82,1.43,2.45,14776,0,053110,1549,21391,3,0,0.00,2,50,2.79,5,-105,-5.85,61832
21,20161014,1820,1820,1785,1795,5,5,-0.28,275688,-10.52,27.11,1.39,0.77,-2744,0,053110,494,57953,2,20,1.11,2,20,1.11,5,-15,-0.83,64155
22,20161013,1810,1830,1790,1800,5,10,-0.55,308110,-31.23,39.59,1.40,0.86,-8454,0,053110,556,8254,3,0,0.00,2,20,1.10,5,-20,-1.10,64333
23,20161012,1810,1855,1785,1810,3,0,0.00,448011,20.26,73.99,1.42,1.25,-6970,0,053110,814,6970,3,0,0.00,2,45,2.49,5,-25,-1.38,64691
24,20161011,1805,1855,1795,1810,2,5,0.28,372527,-30.54,52.77,1.46,1.06,-9861,0,053110,676,9861,3,0,0.00,2,50,2.77,5,-10,-0.55,63618
25,20161010,1860,1860,1795,1805,5,35,-1.90,536337,-73.67,36.61,1.49,1.53,-4528,0,053110,974,3528,2,20,1.09,2,20,1.09,5,-45,-2.45,63442
26,20161007,1805,1960,1805,1840,2,30,1.66,2036662,323.33,115.42,1.50,5.79,16492,0,053110,3853,-14976,5,-5,-0.28,2,150,8.29,5,-5,-0.28,64672
27,20161006,1830,1855,1805,1810,3,0,0.00,481105,17.62,60.84,1.46,1.37,11873,1,053110,881,57497,2,20,1.10,2,45,2.49,5,-5,-0.28,63618
28,20161005,1820,1860,1800,1810,5,20,-1.09,409024,-20.17,45.90,1.42,1.16,1336,0,053110,746,68499,5,-10,-0.55,2,30,1.64,5,-30,-1.64,63618
29,20161004,1815,1880,1815,1830,2,20,1.10,512399,5.11,68.58,1.42,1.46,2408,0,053110,943,-2747,2,5,0.28,2,70,3.87,2,5,0.28,64321
