,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,3445,3515,3415,3465,3,0,0.00,140221,-33.39,86.62,2.91,0.45,-1580,-374,006980,485,954,5,-20,-0.58,2,50,1.44,5,-50,-1.44,107068
1,20161111,3395,3490,3360,3465,2,75,2.21,210519,47.13,125.25,2.91,0.68,13196,0,006980,723,-12786,2,5,0.15,2,100,2.95,5,-30,-0.88,107068
2,20161110,3295,3390,3290,3390,2,175,5.44,143088,-64.14,145.15,2.89,0.46,17747,-58,006980,476,-17689,2,80,2.49,2,175,5.44,2,75,2.33,104751
3,20161109,3370,3435,3120,3215,5,185,-5.44,398987,344.35,45.74,2.86,1.29,-2382,6,006980,1284,2340,5,-30,-0.88,2,35,1.03,5,-280,-8.24,99344
4,20161108,3415,3440,3350,3400,2,15,0.44,89791,23.21,27.31,2.87,0.29,1633,-265,006980,304,-1297,2,30,0.89,2,55,1.62,5,-35,-1.03,105060
5,20161107,3315,3390,3310,3385,2,75,2.27,72879,-35.10,76.17,2.85,0.24,22611,273,006980,244,-22884,2,5,0.15,2,80,2.42,3,0,0.00,104596
6,20161104,3320,3390,3270,3310,5,50,-1.49,112300,-15.85,55.58,2.78,0.36,-1466,0,006980,372,1465,5,-40,-1.19,2,30,0.89,5,-90,-2.68,102279
7,20161103,3280,3365,3280,3360,2,40,1.20,133458,-38.53,58.16,2.79,0.43,30525,-122,006980,444,-30397,5,-40,-1.20,2,45,1.36,5,-40,-1.20,103824
8,20161102,3460,3500,3320,3320,5,105,-3.07,217112,62.54,49.12,2.69,0.70,-18623,0,006980,736,18622,2,35,1.02,2,75,2.19,5,-105,-3.07,102588
9,20161101,3360,3460,3360,3425,3,0,0.00,133576,-56.54,57.01,2.78,0.43,20438,-379,006980,456,-20034,5,-65,-1.90,2,35,1.02,5,-65,-1.90,105832
