,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,10900,10950,10750,10900,3,0,0.00,115119,-5.17,307.99,19.93,0.23,-11751,46128,003540,1253,-34287,3,0,0.00,2,50,0.46,5,-150,-1.38,553430
1,20161111,10750,10900,10700,10900,2,200,1.87,121397,-13.24,440.87,19.93,0.24,46526,26822,003540,1315,-76866,2,50,0.47,2,200,1.87,3,0,0.00,553430
2,20161110,10500,10800,10500,10700,2,350,3.38,139930,-44.18,81.68,19.84,0.28,54384,-14373,003540,1499,-39806,2,150,1.45,2,450,4.35,2,150,1.45,543275
3,20161109,10800,10850,10100,10350,5,400,-3.72,250694,165.92,63.30,19.73,0.49,50860,19355,003540,2622,-76474,2,50,0.47,2,100,0.93,5,-650,-6.05,525505
4,20161108,10800,10900,10700,10750,3,0,0.00,94275,9.26,161.19,19.63,0.19,22871,8554,003540,1017,-30665,2,50,0.47,2,150,1.40,5,-50,-0.47,545814
5,20161107,10650,10750,10600,10750,2,100,0.94,86285,0.96,202.65,19.59,0.17,33216,7224,003540,924,-34000,3,0,0.00,2,100,0.94,5,-50,-0.47,545814
6,20161104,10600,10700,10450,10650,2,150,1.43,85461,-23.24,120.24,19.52,0.17,31171,4395,003540,902,-34455,2,100,0.95,2,200,1.90,5,-50,-0.48,540737
7,20161103,10250,10600,10250,10500,2,250,2.44,111336,-26.25,300.90,19.46,0.22,10314,58948,003540,1165,-60796,3,0,0.00,2,350,3.41,3,0,0.00,533121
8,20161102,10500,10500,10250,10250,5,250,-2.38,150967,85.97,95.22,19.44,0.30,-9771,55335,003540,1564,-45584,3,0,0.00,3,0,0.00,5,-250,-2.38,520427
9,20161101,10500,10650,10450,10500,5,50,-0.47,81180,-42.48,62.02,19.46,0.16,-4957,18927,003540,855,-13970,5,-50,-0.47,2,100,0.95,5,-100,-0.95,533121
10,20161031,10600,10650,10450,10550,5,100,-0.94,141131,124.37,114.23,19.47,0.28,8025,-40408,003540,1485,32383,5,-50,-0.47,3,0,0.00,5,-200,-1.88,535659
11,20161028,10750,10800,10550,10650,5,50,-0.47,62901,-19.31,110.85,19.46,0.12,-9534,18949,003540,670,-9415,2,50,0.47,2,100,0.93,5,-150,-1.40,540737
12,20161027,10650,10750,10550,10700,2,100,0.94,77954,-55.07,165.89,19.47,0.15,-761,99,003540,832,733,2,50,0.47,2,150,1.42,5,-50,-0.47,543275
13,20161026,10950,10950,10550,10600,5,250,-2.30,173509,7.89,71.06,19.48,0.34,-22007,20795,003540,1850,982,2,100,0.92,2,100,0.92,5,-300,-2.76,538198
14,20161025,10900,10950,10700,10850,3,0,0.00,160825,98.90,241.89,19.52,0.32,5949,73860,003540,1741,-74669,2,50,0.46,2,100,0.92,5,-150,-1.38,550891
15,20161024,10850,10950,10800,10850,3,0,0.00,80856,-61.39,167.44,19.51,0.16,-17162,-1463,003540,878,14108,3,0,0.00,2,100,0.92,5,-50,-0.46,550891
16,20161021,10800,10900,10700,10850,3,0,0.00,209439,52.12,65.01,19.54,0.41,33894,-41252,003540,2261,7360,5,-50,-0.46,2,50,0.46,5,-150,-1.38,550891
17,20161020,10750,10900,10650,10850,2,150,1.40,137679,11.74,209.35,19.47,0.27,43612,12714,003540,1489,-56252,2,50,0.47,2,200,1.87,5,-50,-0.47,550891
18,20161019,10650,10750,10600,10700,2,50,0.47,123217,48.26,128.35,19.40,0.24,8988,24276,003540,1319,-32964,3,0,0.00,2,100,0.94,5,-50,-0.47,543275
19,20161018,10550,10650,10550,10650,2,50,0.47,83111,48.63,105.73,19.38,0.16,16902,-19856,003540,880,3054,5,-50,-0.47,2,50,0.47,5,-50,-0.47,540737
20,20161017,10650,10700,10550,10600,3,0,0.00,55918,-45.80,46.66,19.34,0.11,-5557,-9236,003540,594,14731,2,50,0.47,2,100,0.94,5,-50,-0.47,538198
21,20161014,10550,10600,10450,10600,2,50,0.47,103172,56.97,98.44,19.35,0.20,-56966,40432,003540,1085,16784,3,0,0.00,2,50,0.47,5,-100,-0.95,538198
22,20161013,10600,10650,10450,10550,5,50,-0.47,65726,-16.36,97.24,19.47,0.13,-34204,21404,003540,692,12600,3,0,0.00,2,50,0.47,5,-150,-1.42,535659
23,20161012,10550,10600,10450,10600,2,50,0.47,78584,-1.64,85.48,19.53,0.15,-30060,22939,003540,827,7321,3,0,0.00,2,50,0.47,5,-100,-0.95,538198
24,20161011,10600,10600,10500,10550,3,0,0.00,79891,7.96,223.94,19.59,0.16,-9579,34066,003540,844,-24387,2,50,0.47,2,50,0.47,5,-50,-0.47,535659
25,20161010,10450,10600,10450,10550,2,50,0.48,74000,95.48,281.21,19.61,0.15,-6874,26346,003540,781,-19372,5,-50,-0.48,2,100,0.95,5,-50,-0.48,535659
26,20161007,10500,10500,10400,10500,3,0,0.00,37856,-41.07,134.80,19.62,0.07,-15671,11894,003540,396,3777,3,0,0.00,3,0,0.00,5,-100,-0.95,533121
27,20161006,10550,10600,10450,10500,5,50,-0.47,64242,-27.91,69.39,19.65,0.13,-26878,1486,003540,674,25392,3,0,0.00,2,50,0.47,5,-100,-0.95,533121
28,20161005,10550,10550,10450,10550,2,50,0.48,89111,-3.02,79.55,19.71,0.18,17704,-22982,003540,935,5278,2,50,0.48,2,50,0.48,5,-50,-0.48,535659
29,20161004,10550,10600,10500,10500,3,0,0.00,91885,-31.90,71.53,19.67,0.18,-20793,-2614,003540,969,23507,2,50,0.48,2,100,0.95,3,0,0.00,533121
30,20160930,10600,10600,10450,10500,5,50,-0.47,134930,77.22,67.24,19.72,0.27,7522,29053,003540,1418,-36575,2,50,0.47,2,50,0.47,5,-100,-0.95,533121
31,20160929,10600,10650,10500,10550,5,50,-0.47,76136,-50.36,63.27,19.70,0.15,-7133,7310,003540,805,-177,3,0,0.00,2,50,0.47,5,-100,-0.94,535659
32,20160928,10650,10750,10500,10600,3,0,0.00,153378,141.76,226.23,19.70,0.30,-28260,58970,003540,1631,-30325,2,50,0.47,2,150,1.42,5,-100,-0.94,538198
