,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,11200,11500,10950,11200,3,0,0.00,485223,-17.66,57.43,1.82,2.52,15881,-73250,086520,5434,48517,3,0,0.00,2,300,2.68,5,-250,-2.23,215753
1,20161111,11550,11700,11150,11200,5,450,-3.86,589259,-58.47,44.50,1.82,3.06,9151,-132437,086520,6692,120955,5,-100,-0.86,2,50,0.43,5,-500,-4.29,215753
2,20161110,12700,12750,11250,11650,5,750,-6.05,1418974,67.61,38.89,1.83,7.37,-31680,-251215,086520,16732,294376,2,300,2.42,2,350,2.82,5,-1150,-9.27,224421
3,20161109,13350,13400,12050,12400,5,850,-6.42,846588,553.20,66.20,2.05,4.39,11195,-4474,086520,10615,22657,2,100,0.75,2,150,1.13,5,-1200,-9.06,238869
4,20161108,13450,13450,13100,13250,5,100,-0.75,129607,-53.39,49.74,1.99,0.67,-20990,-1128,086520,1717,20668,2,100,0.75,2,100,0.75,5,-250,-1.87,255243
5,20161107,12750,13350,12650,13350,2,750,5.95,278077,112.26,194.76,2.10,1.44,17949,-10205,086520,3631,-6744,2,150,1.19,2,750,5.95,2,50,0.40,257170
6,20161104,12800,12850,12600,12600,5,150,-1.18,131009,-37.07,24.82,2.01,0.68,13733,-33995,086520,1663,20290,2,50,0.39,2,100,0.78,5,-150,-1.18,242722
7,20161103,12450,12900,12450,12750,2,150,1.19,208181,-27.25,67.01,1.94,1.08,21981,10676,086520,2649,-30657,5,-150,-1.19,2,300,2.38,5,-150,-1.19,245611
8,20161102,13000,13150,12600,12600,5,550,-4.18,286145,6.59,52.36,1.82,1.49,-14019,-12351,086520,3648,26790,5,-150,-1.14,3,0,0.00,5,-550,-4.18,242722
9,20161101,12600,13250,12600,13150,2,500,3.95,268445,-21.97,201.78,1.90,1.39,24607,44377,086520,3480,-68198,5,-50,-0.40,2,600,4.74,5,-50,-0.40,253317
10,20161031,12950,13050,12600,12650,5,450,-3.44,344010,-22.36,50.36,1.77,1.79,-18884,-3033,086520,4388,19613,5,-150,-1.15,5,-50,-0.38,5,-500,-3.82,243685
11,20161028,13500,13800,13200,13400,5,200,-1.47,443079,44.66,72.38,1.85,2.30,-14489,7202,086520,5989,6673,5,-100,-0.74,2,200,1.47,5,-400,-2.94,258133
12,20161027,13450,13700,13350,13600,2,250,1.87,306280,-23.24,148.93,1.92,1.59,-24028,36856,086520,4147,-14585,2,100,0.75,2,350,2.62,3,0,0.00,261986
13,20161026,13250,13500,12850,13350,2,50,0.38,398992,-11.74,53.40,2.06,2.07,25349,4471,086520,5264,-32712,5,-50,-0.38,2,200,1.50,5,-450,-3.38,257170
14,20161025,13800,13800,13000,13300,5,400,-2.92,452057,34.48,38.23,1.94,2.35,12580,-18235,086520,6007,8565,2,100,0.73,2,100,0.73,5,-700,-5.11,256207
15,20161024,13600,14000,13450,13700,2,150,1.11,336162,-39.57,118.93,1.88,1.75,20572,-27595,086520,4627,9314,2,50,0.37,2,450,3.32,5,-100,-0.74,263912
16,20161021,14150,14200,13550,13550,5,750,-5.24,556295,-5.03,46.49,1.77,2.89,-59376,16667,086520,7657,42835,5,-150,-1.05,5,-100,-0.70,5,-750,-5.24,261022
17,20161020,13900,14400,13850,14300,2,250,1.78,585779,107.95,124.01,2.08,3.04,24342,-8022,086520,8327,-13861,5,-150,-1.07,2,350,2.49,5,-200,-1.42,275470
18,20161019,14350,14350,14000,14050,5,250,-1.75,281698,-7.60,35.10,1.96,1.46,-13143,-10210,086520,3993,23260,2,50,0.35,2,50,0.35,5,-300,-2.10,270654
19,20161018,14250,14400,14050,14300,2,50,0.35,304876,-55.42,67.76,2.03,1.58,-14595,22093,086520,4330,-9252,3,0,0.00,2,150,1.05,5,-200,-1.40,275470
20,20161017,13900,14450,13850,14250,2,400,2.89,683840,110.86,174.55,2.10,3.55,-12457,25718,086520,9694,-2127,2,50,0.36,2,600,4.33,3,0,0.00,274507
21,20161014,14050,14050,13700,13850,5,250,-1.77,324305,12.96,76.56,2.17,1.68,-17320,15236,086520,4488,659,5,-50,-0.35,5,-50,-0.35,5,-400,-2.84,266802
22,20161013,14150,14250,13900,14100,2,100,0.71,287089,-37.65,80.60,2.26,1.50,-33032,-699,086520,4036,34458,2,150,1.07,2,250,1.79,5,-100,-0.71,270760
23,20161012,14200,14450,13900,14000,5,150,-1.06,460440,-58.86,98.72,2.44,2.40,-81467,43876,086520,6514,36764,2,50,0.35,2,300,2.12,5,-250,-1.77,268840
24,20161011,13850,14350,13700,14150,2,450,3.28,1119125,60.87,169.29,2.87,5.83,57090,82319,086520,15848,-138821,2,150,1.09,2,650,4.74,3,0,0.00,271720
25,20161010,13300,14100,13300,13700,2,550,4.18,695666,94.23,140.22,2.57,3.62,3788,44167,086520,9582,-45142,2,150,1.14,2,950,7.22,2,150,1.14,263079
26,20161007,13450,13600,13050,13150,5,300,-2.23,358157,-27.34,30.99,2.56,1.87,28550,-44564,086520,4757,15239,3,0,0.00,2,150,1.12,5,-400,-2.97,252517
27,20161006,13950,14100,13400,13450,5,500,-3.58,492907,78.18,34.12,2.41,2.57,21321,-80413,086520,6719,56427,3,0,0.00,2,150,1.08,5,-550,-3.94,258278
28,20161005,14200,14200,13800,13950,5,250,-1.76,276630,-41.44,61.33,2.45,1.44,561,-10404,086520,3870,8713,3,0,0.00,3,0,0.00,5,-400,-2.82,267880
29,20161004,14000,14400,13950,14200,2,350,2.53,472350,27.44,109.40,2.65,2.46,17701,35640,086520,6702,-50547,2,150,1.08,2,550,3.97,2,100,0.72,272680
30,20160930,14050,14100,13650,13850,5,350,-2.46,370645,-60.82,65.71,2.65,1.93,-22095,-9105,086520,5155,30382,5,-150,-1.06,5,-100,-0.70,5,-550,-3.87,265959
31,20160929,13800,14300,13750,14200,2,650,4.80,945953,163.14,188.88,2.76,4.93,11361,67890,086520,13269,-59699,2,250,1.85,2,750,5.54,2,200,1.48,272680
32,20160928,13600,13750,13400,13550,3,0,0.00,359487,6.27,111.32,2.70,1.87,19719,3591,086520,4875,-26569,2,50,0.37,2,200,1.48,5,-150,-1.11,260199
33,20160927,13500,13600,13250,13550,2,150,1.12,338272,-70.02,88.06,2.60,1.76,12797,-10129,086520,4550,-38,2,100,0.75,2,200,1.49,5,-150,-1.12,260199
