,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,777,790,767,778,3,0,0.00,130527,-26.27,68.57,3.37,0.34,4880,0,024850,101,-4880,5,-1,-0.13,2,12,1.54,5,-11,-1.41,30129
1,20161111,789,801,769,778,2,3,0.39,177033,-40.09,88.72,3.37,0.46,8142,-3,024850,139,-3628,2,14,1.81,2,26,3.35,5,-6,-0.77,30129
2,20161110,733,780,733,775,2,43,5.87,295501,-68.45,82.07,3.35,0.76,34434,0,024850,224,-38945,2,1,0.14,2,48,6.56,2,1,0.14,30013
3,20161109,795,819,709,732,5,79,-9.74,936465,490.63,29.56,3.26,2.42,-4963,0,024850,689,-5037,5,-16,-1.97,2,8,0.99,5,-102,-12.58,28348
4,20161108,813,819,802,811,2,11,1.38,158554,17.04,123.44,3.28,0.41,-18868,0,024850,129,17868,2,13,1.62,2,19,2.38,2,2,0.25,31407
5,20161107,791,812,772,800,2,26,3.36,135470,-14.37,102.63,3.49,0.35,-17934,0,024850,107,15934,2,17,2.20,2,38,4.91,5,-2,-0.26,30981
6,20161104,750,791,750,774,2,24,3.20,158202,-63.27,59.81,3.54,0.41,-35540,-2,024850,122,25542,3,0,0.00,2,41,5.47,3,0,0.00,29974
7,20161103,701,850,701,750,2,20,2.74,430712,82.80,73.88,3.63,1.11,42724,0,024850,334,-41724,5,-29,-3.97,2,120,16.44,5,-29,-3.97,29045
8,20161102,759,795,730,730,5,47,-6.05,235621,-27.71,19.08,3.52,0.61,-1926,1,024850,180,1925,5,-18,-2.32,2,18,2.32,5,-47,-6.05,28270
9,20161101,760,798,742,777,2,21,2.78,325931,-53.26,132.79,3.52,0.84,42974,3,024850,252,-42675,2,4,0.53,2,42,5.56,5,-14,-1.85,30090
10,20161031,801,809,751,756,5,53,-6.55,697272,62.55,54.58,3.41,1.80,76529,0,024850,533,-76531,5,-8,-0.99,3,0,0.00,5,-58,-7.17,29277
11,20161028,820,831,796,809,5,16,-1.94,428967,8.37,35.14,3.21,1.11,-21473,2,024850,347,21651,5,-5,-0.61,2,6,0.73,5,-29,-3.52,31329
12,20161027,830,835,816,825,3,0,0.00,395829,-61.71,78.48,3.27,1.02,44394,0,024850,326,-44694,2,5,0.61,2,10,1.21,5,-9,-1.09,31949
13,20161026,902,902,790,825,5,77,-8.54,1033832,241.05,48.01,3.16,2.67,24684,-435,024850,861,-25041,3,0,0.00,3,0,0.00,5,-112,-12.42,31949
14,20161025,923,923,896,902,3,0,0.00,303130,-6.08,61.71,3.09,0.78,-4784,0,024850,274,4784,2,21,2.33,2,21,2.33,5,-6,-0.67,34931
15,20161024,901,917,880,902,5,8,-0.88,322744,-11.07,38.10,3.10,0.83,-578,0,024850,289,578,5,-9,-0.99,2,7,0.77,5,-30,-3.30,34931
16,20161021,910,912,895,910,3,0,0.00,362906,45.60,46.38,3.11,0.94,7842,0,024850,327,-7656,3,0,0.00,2,2,0.22,5,-15,-1.65,35241
17,20161020,919,925,897,910,2,2,0.22,249244,-14.32,61.01,3.09,0.64,3960,0,024850,227,-3960,2,11,1.21,2,17,1.87,5,-11,-1.21,35241
18,20161019,932,932,897,908,5,17,-1.84,290890,-53.37,43.98,3.08,0.75,9353,0,024850,264,-9353,2,7,0.76,2,7,0.76,5,-28,-3.03,35163
19,20161018,946,951,902,925,5,21,-2.22,623801,143.99,30.45,3.05,1.61,-2395,0,024850,573,1226,3,0,0.00,2,5,0.53,5,-44,-4.65,35822
20,20161017,939,966,934,946,2,9,0.96,255666,-56.45,77.11,3.06,0.66,-3891,0,024850,242,16255,2,2,0.21,2,29,3.09,5,-3,-0.32,36635
21,20161014,961,965,925,937,5,25,-2.60,587130,13.18,45.23,3.07,1.52,-4800,0,024850,553,-9497,5,-1,-0.10,2,3,0.31,5,-37,-3.85,36286
22,20161013,970,970,955,962,5,8,-0.82,518743,-26.29,24.01,3.08,1.34,299,0,024850,498,-46,3,0,0.00,3,0,0.00,5,-15,-1.55,37255
23,20161012,976,980,956,970,5,6,-0.61,703797,-13.50,25.11,3.08,1.82,-869,0,024850,677,4554,3,0,0.00,2,4,0.41,5,-20,-2.05,37564
24,20161011,1000,1010,966,976,5,19,-1.91,813658,-13.90,31.32,3.08,2.10,-70754,0,024850,796,68667,2,5,0.50,2,15,1.51,5,-29,-2.91,37797
25,20161010,1015,1020,965,995,5,25,-2.45,944972,-74.11,41.03,3.26,2.44,34768,0,024850,940,-49260,5,-5,-0.49,3,0,0.00,5,-55,-5.39,38533
26,20161007,1075,1110,1010,1020,5,40,-3.77,3650026,30.75,86.59,3.17,9.43,-55099,0,024850,3904,49608,2,15,1.42,2,50,4.72,5,-50,-4.72,39501
27,20161006,1070,1085,1040,1060,5,10,-0.93,2791536,-68.86,80.22,3.32,7.21,-42898,0,024850,2964,38199,3,0,0.00,2,15,1.40,5,-30,-2.80,41050
28,20161005,1000,1130,1000,1070,2,71,7.11,8965755,1460.84,127.01,3.43,23.15,9134,0,024850,9625,-7521,2,1,0.10,2,131,13.11,2,1,0.10,41437
29,20161004,1000,1015,985,999,2,5,0.50,574419,-40.36,63.59,3.40,1.48,13417,0,024850,575,-13401,2,6,0.60,2,21,2.11,5,-9,-0.91,38687
30,20160930,1020,1020,994,994,5,26,-2.55,963087,-69.22,27.38,3.37,2.49,-120845,0,024850,965,119276,3,0,0.00,3,0,0.00,5,-26,-2.55,38494
31,20160929,979,1060,978,1020,2,44,4.51,3128748,166.48,92.69,3.68,8.08,89664,0,024850,3185,-40224,2,3,0.31,2,84,8.61,2,2,0.20,39501
32,20160928,968,1010,955,976,2,8,0.83,1174115,6.36,96.24,3.44,3.03,79465,0,024850,1151,-86944,3,0,0.00,2,42,4.34,5,-13,-1.34,37797
33,20160927,997,997,965,968,5,30,-3.01,1103869,8.49,34.74,3.24,2.85,-157988,0,024850,1079,159468,5,-1,-0.10,5,-1,-0.10,5,-33,-3.31,37487
34,20160926,965,1010,965,998,2,26,2.67,1017483,8.38,87.18,3.65,2.63,98560,0,024850,1014,-98718,5,-7,-0.72,2,38,3.91,5,-7,-0.72,38649
35,20160923,999,999,950,972,5,25,-2.51,938775,4.59,48.32,3.39,2.42,67601,435,024850,915,-68278,2,2,0.20,2,2,0.20,5,-47,-4.71,37642
36,20160922,974,1015,974,997,2,8,0.81,897593,-32.13,85.58,3.22,2.32,30594,0,024850,894,-30511,5,-15,-1.52,2,26,2.63,5,-15,-1.52,38610
37,20160921,1000,1025,984,989,5,21,-2.08,1322428,8.98,44.24,0,3.41,0,0,024850,1321,-1616,5,-10,-0.99,2,15,1.49,5,-26,-2.57,38300
38,20160920,1035,1045,999,1010,5,25,-2.42,1213440,-54.03,30.87,3.11,3.13,14606,0,024850,1225,-15706,3,0,0.00,2,10,0.97,5,-36,-3.48,39113
39,20160919,1025,1060,996,1035,2,25,2.48,2639477,-58.40,79.02,3.11,6.82,3556,0,024850,2713,6986,2,15,1.49,2,50,4.95,5,-14,-1.39,40082
40,20160913,1025,1100,993,1010,2,5,0.50,6345488,113.59,94.62,3.10,16.39,-151883,0,024850,6634,106134,2,20,1.99,2,95,9.45,5,-12,-1.19,39113
41,20160912,945,1015,913,1005,2,55,5.79,2970897,115.18,99.80,3.49,7.67,33532,0,024850,2931,-34106,5,-5,-0.53,2,65,6.84,5,-37,-3.89,38920
42,20160909,983,993,947,950,5,32,-3.26,1380632,-73.87,31.61,3.41,3.57,-68882,0,024850,1338,68893,2,1,0.10,2,11,1.12,5,-35,-3.56,36790
43,20160908,949,1020,937,982,2,33,3.48,5282947,4.20,101.07,3.58,13.64,28268,0,024850,5197,-28892,3,0,0.00,2,71,7.48,5,-12,-1.26,38029
44,20160907,973,1015,940,949,5,5,-0.52,5069968,139.60,83.02,3.51,13.09,-342470,0,024850,4953,337459,2,19,1.99,2,61,6.39,5,-14,-1.47,36751
45,20160906,920,961,905,954,2,37,4.03,2115973,57.62,99.67,4.29,5.46,-62707,0,024850,1980,62707,2,3,0.33,2,44,4.80,5,-12,-1.31,36945
46,20160905,893,937,889,917,2,23,2.57,1342423,-81.14,81.79,4.45,3.47,-7005,0,024850,1226,9305,5,-1,-0.11,2,43,4.81,5,-5,-0.56,35512
47,20160902,830,970,816,894,2,76,9.29,7118792,2094.56,87.77,4.47,18.38,-152704,0,024850,6543,142839,2,12,1.47,2,152,18.58,5,-2,-0.24,34621
48,20160901,813,838,798,818,2,1,0.12,324383,-62.10,83.03,4.87,0.84,36514,0,024850,266,-36514,5,-4,-0.49,2,21,2.57,5,-19,-2.33,31678
49,20160831,833,834,792,817,5,16,-1.92,855978,289.42,55.84,4.77,2.21,-8677,0,024850,689,11577,3,0,0.00,2,1,0.12,5,-41,-4.92,31639
50,20160830,849,849,827,833,5,3,-0.36,219806,-59.73,75.30,4.79,0.57,-28405,0,024850,184,27085,2,13,1.56,2,13,1.56,5,-9,-1.08,32259
51,20160829,848,865,800,836,5,3,-0.36,545863,-32.03,41.29,4.87,1.41,19832,0,024850,458,-20076,2,9,1.07,2,26,3.10,5,-39,-4.65,32375
52,20160826,875,888,821,839,5,36,-4.11,803134,97.73,18.79,4.82,2.07,-98874,0,024850,682,98874,3,0,0.00,2,13,1.49,5,-54,-6.17,32491
53,20160825,861,886,847,875,2,4,0.46,406177,-32.87,75.96,5.07,1.05,102197,0,024850,353,-100339,5,-10,-1.15,2,15,1.72,5,-24,-2.76,33885
54,20160824,895,897,871,871,5,24,-2.68,605093,70.98,16.24,4.81,1.56,-21938,0,024850,535,25044,3,0,0.00,2,2,0.22,5,-24,-2.68,33731
55,20160823,912,914,890,895,5,10,-1.10,353890,-40.49,45.18,4.86,0.91,11827,0,024850,318,-11692,2,7,0.77,2,9,0.99,5,-15,-1.66,34660
56,20160822,919,930,899,905,5,21,-2.27,594645,62.42,19.28,4.83,1.54,-7703,0,024850,538,5353,5,-7,-0.76,2,4,0.43,5,-27,-2.92,35047
57,20160819,942,942,918,926,2,4,0.43,366107,-37.47,32.87,4.85,0.95,-40974,0,024850,339,40974,2,20,2.17,2,20,2.17,5,-4,-0.43,35860
58,20160818,903,937,892,922,2,19,2.10,585501,48.80,141.57,4.96,1.51,83713,0,024850,536,-83713,3,0,0.00,2,34,3.77,5,-11,-1.22,35706
59,20160817,902,926,898,903,3,0,0.00,393489,-1.76,53.88,4.74,1.02,17327,0,024850,357,-16877,5,-1,-0.11,2,23,2.55,5,-5,-0.55,34970
60,20160816,934,934,897,903,5,7,-0.77,400558,21.55,41.80,4.70,1.03,-13249,0,024850,363,13249,2,24,2.64,2,24,2.64,5,-13,-1.43,34970
61,20160812,897,924,897,910,2,5,0.55,329529,-40.66,136.51,4.73,0.85,127771,-25,024850,301,-126596,5,-8,-0.88,2,19,2.10,5,-8,-0.88,35241
62,20160811,943,949,900,905,5,38,-4.03,555327,-16.06,38.66,4.40,1.43,-13000,-96,024850,509,11946,3,0,0.00,2,6,0.64,5,-43,-4.56,35047
63,20160810,971,971,931,943,5,7,-0.74,661605,-65.14,26.37,4.44,1.71,-108281,-407,024850,631,108688,2,21,2.21,2,21,2.21,5,-19,-2.00,36519
64,20160809,930,955,880,950,2,11,1.17,1897850,173.17,80.30,4.72,4.90,190794,-29638,024850,1740,-161956,5,-9,-0.96,2,16,1.70,5,-59,-6.28,36790
65,20160808,957,970,930,939,5,23,-2.39,694753,-0.80,43.25,4.22,1.79,58875,-56294,024850,658,-2940,5,-5,-0.52,2,8,0.83,5,-32,-3.33,36364
66,20160805,968,986,946,962,5,6,-0.62,700367,-3.43,56.15,4.07,1.81,-18035,0,024850,674,18035,3,0,0.00,2,18,1.86,5,-22,-2.27,37255
67,20160804,963,975,948,968,2,5,0.52,725234,-34.38,111.68,4.12,1.87,175506,0,024850,697,-175506,3,0,0.00,2,12,1.25,5,-15,-1.56,37487
68,20160803,997,997,963,963,5,37,-3.70,1105263,34.07,16.42,3.67,2.85,-61137,0,024850,1080,61137,5,-3,-0.30,5,-3,-0.30,5,-37,-3.70,37293
69,20160802,991,1010,978,1000,2,9,0.91,824421,41.66,157.30,3.82,2.13,98643,0,024850,822,-98643,3,0,0.00,2,19,1.92,5,-13,-1.31,38726
70,20160801,980,996,969,991,2,7,0.71,581974,-54.01,61.94,3.57,1.50,108968,0,024850,571,-95091,5,-4,-0.41,2,12,1.22,5,-15,-1.52,38378
71,20160729,1005,1005,961,984,5,21,-2.09,1265554,12.59,31.94,3.29,3.27,-26238,0,024850,1254,28910,3,0,0.00,3,0,0.00,5,-44,-4.38,38107
72,20160728,1010,1030,993,1005,3,0,0.00,1124037,9.62,47.50,3.35,2.90,79869,0,024850,1129,-80069,2,5,0.50,2,25,2.49,5,-12,-1.19,38920
