,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,2045,2100,2035,2050,3,0,0.00,687782,-48.66,71.79,3.53,1.43,-42883,612,021080,1417,31971,5,-5,-0.24,2,50,2.44,5,-15,-0.73,98400
1,20161111,2000,2090,2000,2050,2,55,2.76,1339626,26.02,120.08,3.53,2.79,51109,9600,021080,2759,-60782,2,5,0.25,2,95,4.76,2,5,0.25,98400
2,20161110,2020,2020,1970,1995,2,70,3.64,1063043,-73.17,46.17,3.40,2.21,41914,0,021080,2118,-34914,2,95,4.94,2,95,4.94,2,45,2.34,95760
3,20161109,2020,2025,1765,1925,5,95,-4.70,3962016,581.97,77.05,3.31,8.25,-85624,0,021080,7548,78630,3,0,0.00,2,5,0.25,5,-255,-12.62,92400
4,20161108,2055,2055,2000,2020,5,20,-0.98,580969,-71.67,36.78,3.48,1.21,-105945,0,021080,1173,105945,2,15,0.74,2,15,0.74,5,-40,-1.96,96960
5,20161107,1950,2095,1950,2040,2,120,6.25,2050870,254.80,102.08,3.70,4.27,-221645,0,021080,4169,221644,2,30,1.56,2,175,9.11,2,30,1.56,97920
6,20161104,1915,1945,1895,1920,5,10,-0.52,578029,-32.26,63.67,4.16,1.20,-6199,-3,021080,1108,6202,5,-15,-0.78,2,15,0.78,5,-35,-1.81,92160
7,20161103,1870,1950,1870,1930,2,30,1.58,853356,-51.24,74.04,4.18,1.78,184858,0,021080,1636,-184958,5,-30,-1.58,2,50,2.63,5,-30,-1.58,92640
8,20161102,2050,2070,1890,1900,5,155,-7.54,1750084,132.78,20.47,3.79,3.65,88491,-99998,021080,3424,9611,5,-5,-0.24,2,15,0.73,5,-165,-8.03,91200
9,20161101,2020,2095,2015,2055,5,15,-0.72,751828,-43.67,70.02,3.61,1.57,5050,2,021080,1546,-4952,5,-50,-2.42,2,25,1.21,5,-55,-2.66,98640
10,20161031,2195,2195,2035,2070,5,105,-4.83,1334610,163.89,41.28,3.59,2.78,-24444,-21000,021080,2789,37044,2,20,0.92,2,20,0.92,5,-140,-6.44,99360
11,20161028,2190,2210,2170,2175,5,20,-0.91,505744,-56.64,33.66,3.64,1.05,-51535,0,021080,1105,51535,5,-5,-0.23,2,15,0.68,5,-25,-1.14,104400
12,20161027,2130,2240,2130,2195,2,55,2.57,1166483,-9.46,107.04,3.75,2.43,35931,0,021080,2572,-35919,5,-10,-0.47,2,100,4.67,5,-10,-0.47,105360
