,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,1370,1435,1355,1355,3,0,0.00,3235814,-86.24,83.70,0.19,5.66,-36516,0,044380,4490,33860,2,15,1.11,2,80,5.90,3,0,0.00,77487
1,20161111,1335,1660,1310,1355,2,75,5.86,23517199,3961.63,63.76,0.19,41.12,-460682,1,044380,35501,488194,2,55,4.30,2,380,29.69,2,30,2.34,77487
2,20161110,1240,1280,1210,1280,2,80,6.67,579009,-49.78,101.96,0.95,1.01,-32126,-35,044380,721,72161,2,40,3.33,2,80,6.67,2,10,0.83,73198
3,20161109,1275,1275,1100,1200,5,70,-5.51,1152848,621.37,65.61,1.01,2.02,58504,11,044380,1350,-171218,2,5,0.39,2,5,0.39,5,-170,-13.39,68623
4,20161108,1285,1285,1255,1270,2,5,0.40,159813,-0.34,87.84,0.91,0.28,-30486,-91,044380,202,30577,2,20,1.58,2,20,1.58,5,-10,-0.79,72626
5,20161107,1260,1285,1250,1265,2,5,0.40,160361,-24.41,52.55,0.99,0.28,-26709,0,044380,202,26709,3,0,0.00,2,25,1.98,5,-10,-0.79,72340
6,20161104,1235,1265,1190,1260,2,25,2.02,212141,-60.70,69.41,1.04,0.37,5729,0,044380,261,-19169,3,0,0.00,2,30,2.43,5,-45,-3.64,72054
7,20161103,1215,1260,1160,1235,2,25,2.07,539749,-23.69,54.04,1.03,0.94,152742,0,044380,661,-152744,2,5,0.41,2,50,4.13,5,-50,-4.13,70624
8,20161102,1335,1345,1210,1210,5,140,-10.37,707338,245.71,25.23,0.76,1.24,-28506,0,044380,895,28651,5,-15,-1.11,5,-5,-0.37,5,-140,-10.37,69195
9,20161101,1320,1380,1315,1350,2,15,1.12,204603,-73.40,114.23,0.81,0.36,40107,0,044380,275,-40107,5,-15,-1.12,2,45,3.37,5,-20,-1.50,77201
10,20161031,1410,1440,1315,1335,5,35,-2.55,769327,55.32,55.04,0.74,1.35,-41817,0,044380,1056,44306,2,40,2.92,2,70,5.11,5,-55,-4.01,76343
11,20161028,1405,1420,1335,1370,5,35,-2.49,495302,171.40,25.13,0.81,0.87,19937,0,044380,678,-17990,3,0,0.00,2,15,1.07,5,-70,-4.98,78344
12,20161027,1405,1430,1390,1405,2,15,1.08,182499,-79.87,81.42,0.78,0.32,59323,0,044380,257,-59323,2,15,1.08,2,40,2.88,3,0,0.00,80346
13,20161026,1440,1495,1370,1390,5,55,-3.81,906826,158.68,52.93,0.67,1.59,15037,0,044380,1293,-14586,5,-5,-0.35,2,50,3.46,5,-75,-5.19,79488
14,20161025,1490,1490,1425,1445,5,35,-2.36,350553,-40.83,27.90,0.65,0.61,7858,0,044380,505,-7861,2,10,0.68,2,10,0.68,5,-55,-3.72,82633
15,20161024,1485,1540,1445,1480,5,15,-1.00,592485,72.73,46.78,0.63,1.04,-14315,0,044380,870,7673,5,-10,-0.67,2,45,3.01,5,-50,-3.34,84635
16,20161021,1515,1535,1480,1495,5,20,-1.32,343019,-80.51,28.65,0.66,0.60,12065,0,044380,517,-12069,3,0,0.00,2,20,1.32,5,-35,-2.31,85493
17,20161020,1500,1620,1475,1515,3,0,0.00,1760162,247.52,116.93,0.64,3.08,-3569,-1,044380,2764,3385,5,-15,-0.99,2,105,6.93,5,-40,-2.64,86636
18,20161019,1550,1550,1455,1515,5,35,-2.26,506494,121.53,31.43,0.64,0.89,30998,0,044380,761,-30822,3,0,0.00,3,0,0.00,5,-95,-6.13,86636
19,20161018,1555,1580,1520,1550,5,35,-2.21,228631,-24.06,33.69,0.59,0.40,1804,0,044380,353,-1810,5,-30,-1.89,5,-5,-0.32,5,-65,-4.10,88638
20,20161017,1600,1605,1550,1585,5,10,-0.63,301054,-43.70,62.39,0.59,0.53,-29815,0,044380,473,29428,2,5,0.31,2,10,0.63,5,-45,-2.82,90639
21,20161014,1610,1610,1510,1595,5,10,-0.62,534721,-12.48,44.50,0.64,0.94,11275,0,044380,832,-21048,2,5,0.31,2,5,0.31,5,-95,-5.92,91211
22,20161013,1615,1650,1580,1605,5,20,-1.23,610943,-59.74,39.09,0.62,1.07,37759,0,044380,983,-37767,5,-10,-0.62,2,25,1.54,5,-45,-2.77,91783
23,20161012,1600,1675,1580,1625,2,45,2.85,1517668,-35.41,77.11,0.55,2.65,-31755,-1,044380,2485,31746,2,20,1.27,2,95,6.01,3,0,0.00,92927
24,20161011,1510,1630,1490,1580,2,75,4.98,2349858,210.22,104.96,0.61,4.11,-33479,-1,044380,3693,5298,2,5,0.33,2,125,8.31,5,-15,-1.00,90353
25,20161010,1530,1550,1490,1505,5,45,-2.90,757473,-90.65,31.18,0.67,1.32,-9439,0,044380,1145,9425,5,-20,-1.29,3,0,0.00,5,-60,-3.87,86064
26,20161007,1495,1745,1460,1550,2,65,4.38,8102793,942.97,107.23,0.68,14.17,-47848,-2,044380,13108,70195,2,10,0.67,2,260,17.51,5,-25,-1.68,88638
27,20161006,1440,1520,1410,1485,2,35,2.41,776897,185.43,134.53,0.77,1.36,-14152,-558,044380,1145,14685,5,-10,-0.69,2,70,4.83,5,-40,-2.76,84921
28,20161005,1430,1450,1415,1450,2,20,1.40,272185,4.08,138.09,0.79,0.48,-380,-465,044380,391,814,3,0,0.00,2,20,1.40,5,-15,-1.05,82919
29,20161004,1395,1450,1380,1430,2,20,1.42,261525,-2.84,119.74,0.79,0.46,30685,-5,044380,373,-30715,5,-15,-1.06,2,40,2.84,5,-30,-2.13,81776
30,20160930,1420,1425,1380,1410,5,15,-1.05,269160,-50.35,36.32,0.74,0.47,-13460,0,044380,375,13409,5,-5,-0.35,3,0,0.00,5,-45,-3.16,80632
31,20160929,1440,1440,1375,1425,3,0,0.00,542168,24.40,126.78,0.76,0.95,19547,93,044380,763,-6433,2,15,1.05,2,15,1.05,5,-50,-3.51,81490
32,20160928,1470,1475,1400,1425,5,30,-2.06,435812,1.62,29.59,0.73,0.76,12405,0,044380,624,16852,2,15,1.03,2,20,1.37,5,-55,-3.78,81490
33,20160927,1485,1495,1450,1455,5,35,-2.35,428878,-7.00,42.55,0.71,0.75,15936,0,044380,627,-16003,5,-5,-0.34,2,5,0.34,5,-40,-2.68,83205
34,20160926,1520,1530,1480,1490,5,45,-2.93,461151,-14.64,33.53,0.68,0.81,-14019,0,044380,690,20932,5,-15,-0.98,5,-5,-0.33,5,-55,-3.58,85207
35,20160923,1560,1580,1505,1535,5,5,-0.32,540223,33.32,102.79,0.70,0.94,-9799,0,044380,824,19144,2,20,1.30,2,40,2.60,5,-35,-2.27,87780
36,20160922,1530,1560,1515,1540,2,15,0.98,405193,30.22,71.28,0.72,0.71,57663,-186,044380,620,-57477,2,5,0.33,2,35,2.30,5,-10,-0.66,88066
37,20160921,1550,1565,1520,1525,5,30,-1.93,311163,3.41,48.79,0,0.54,0,0,044380,479,24366,5,-5,-0.32,2,10,0.64,5,-35,-2.25,87208
38,20160920,1530,1595,1530,1555,2,15,0.97,300913,-28.56,94.16,0.66,0.53,1753,0,044380,466,-5622,5,-10,-0.65,2,55,3.57,5,-10,-0.65,88924
39,20160919,1480,1540,1465,1540,2,75,5.12,421191,-13.43,57.96,0.66,0.74,54377,0,044380,637,-54377,2,15,1.02,2,75,5.12,3,0,0.00,88066
40,20160913,1485,1520,1445,1465,2,15,1.03,486518,-68.11,50.22,0.56,0.85,71918,186,044380,714,-22104,2,35,2.41,2,70,4.83,5,-5,-0.34,83777
41,20160912,1500,1645,1430,1450,5,70,-4.61,1525588,306.36,66.99,0.44,2.67,-97494,190,044380,2327,147307,5,-20,-1.32,2,125,8.22,5,-90,-5.92,82919
42,20160909,1535,1535,1490,1520,5,30,-1.94,375425,-16.42,31.79,0.61,0.66,-41629,0,044380,564,41629,5,-15,-0.97,5,-15,-0.97,5,-60,-3.87,86922
43,20160908,1535,1565,1490,1550,3,0,0.00,449203,2.22,27.43,0.68,0.79,-23806,1921,044380,686,21885,5,-15,-0.97,2,15,0.97,5,-60,-3.87,88638
44,20160907,1570,1595,1530,1550,5,10,-0.64,439453,72.65,44.92,0.72,0.77,-39200,1095,044380,684,-7084,2,10,0.64,2,35,2.24,5,-30,-1.92,88638
45,20160906,1540,1575,1530,1560,2,20,1.30,254532,-17.23,69.41,0.79,0.45,-37523,-226,044380,394,30928,3,0,0.00,2,35,2.27,5,-10,-0.65,89210
46,20160905,1540,1555,1500,1540,2,30,1.99,307522,-25.80,122.34,0.85,0.54,-19244,142,044380,470,20188,2,30,1.99,2,45,2.98,5,-10,-0.66,88066
47,20160902,1525,1530,1480,1510,3,0,0.00,414464,-39.86,58.14,0.89,0.72,28523,2,044380,625,10475,2,15,0.99,2,20,1.32,5,-30,-1.99,86350
48,20160901,1465,1550,1445,1510,2,25,1.68,689213,71.48,73.67,0.84,1.21,31645,0,044380,1024,-31645,5,-20,-1.35,2,65,4.38,5,-40,-2.69,86350
49,20160831,1500,1535,1460,1485,5,40,-2.62,401930,-43.39,38.90,0.78,0.70,-13054,284,044380,596,38830,5,-25,-1.64,2,10,0.66,5,-65,-4.26,84921
50,20160830,1515,1555,1485,1525,2,10,0.66,709979,55.54,45.43,0.81,1.24,120184,506,044380,1077,-120690,3,0,0.00,2,40,2.64,5,-30,-1.98,87208
51,20160829,1580,1590,1505,1515,5,65,-4.11,456459,12.56,32.04,0.60,0.80,-40676,372,044380,701,40304,3,0,0.00,2,10,0.63,5,-75,-4.75,86636
52,20160826,1610,1625,1565,1580,5,10,-0.63,405520,-25.63,63.47,0.67,0.71,-11255,0,044380,647,11255,2,20,1.26,2,35,2.20,5,-25,-1.57,90353
53,20160825,1630,1650,1585,1590,5,50,-3.05,545241,-52.21,25.97,0.83,0.95,-87939,493,044380,873,87436,5,-10,-0.61,2,10,0.61,5,-55,-3.35,90925
54,20160824,1675,1680,1580,1640,2,25,1.55,1140951,-28.49,67.14,0.98,2.00,-171880,232,044380,1861,165588,2,60,3.72,2,65,4.02,5,-35,-2.17,93785
55,20160823,1485,1630,1415,1615,2,130,8.75,1595609,43.32,151.38,1.28,2.79,161694,47,044380,2454,-161739,3,0,0.00,2,145,9.76,5,-70,-4.71,92355
56,20160822,1580,1595,1485,1485,5,100,-6.31,1113288,313.55,32.98,1.00,1.95,38777,188,044380,1692,-60445,5,-5,-0.32,2,10,0.63,5,-100,-6.31,84921
