,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,5560,5670,5510,5570,3,0,0.00,409238,-54.09,83.01,2.28,1.02,-12471,-30,006380,2285,15880,5,-10,-0.18,2,100,1.80,5,-60,-1.08,222800
1,20161111,5380,5650,5300,5570,2,210,3.92,891460,38.94,202.93,2.28,2.23,71508,80260,006380,4957,-154918,2,20,0.37,2,290,5.41,5,-60,-1.12,222800
2,20161110,5250,5520,5200,5360,2,260,5.10,641634,-40.55,140.03,2.12,1.60,31574,111585,006380,3451,-145498,2,150,2.94,2,420,8.24,2,100,1.96,214400
3,20161109,5400,5460,4860,5100,5,300,-5.56,1079322,268.57,52.21,2.04,2.70,-774,7,006380,5479,-2139,3,0,0.00,2,60,1.11,5,-540,-10.00,204000
4,20161108,5610,5620,5370,5400,5,130,-2.35,292843,14.70,36.87,2.05,0.73,-76006,-56,006380,1600,80853,2,80,1.45,2,90,1.63,5,-160,-2.89,216000
5,20161107,5300,5530,5300,5530,2,230,4.34,255322,-30.81,162.17,2.24,0.64,51330,231,006380,1390,-51136,3,0,0.00,2,230,4.34,3,0,0.00,221200
6,20161104,5210,5370,5190,5300,3,0,0.00,369000,-39.76,67.41,2.11,0.92,66213,-7539,006380,1947,-57106,5,-90,-1.70,2,70,1.32,5,-110,-2.08,212000
7,20161103,5500,5650,5300,5300,5,180,-3.28,612566,14.22,55.15,1.94,1.53,15258,-240,006380,3342,-11583,2,20,0.36,2,170,3.10,5,-180,-3.28,212000
8,20161102,5680,5680,5450,5480,5,240,-4.20,536281,4.63,32.32,1.90,1.34,-43446,0,006380,2965,42423,5,-40,-0.70,5,-40,-0.70,5,-270,-4.72,219200
9,20161101,5500,5740,5480,5720,2,200,3.62,512550,16.34,78.78,1.96,1.28,43504,-31184,006380,2862,-26400,5,-20,-0.36,2,220,3.99,5,-40,-0.72,228800
10,20161031,5460,5670,5410,5520,2,10,0.18,440553,-14.81,53.52,1.85,1.10,30335,-1,006380,2437,-30431,5,-50,-0.91,2,160,2.90,5,-100,-1.81,220800
11,20161028,5790,5790,5490,5510,5,280,-4.84,517136,5.85,30.96,1.78,1.29,-24569,10837,006380,2898,13731,3,0,0.00,3,0,0.00,5,-300,-5.18,220400
12,20161027,5690,5850,5650,5790,2,110,1.94,488567,2.47,141.64,1.84,1.22,22463,50000,006380,2816,-71303,2,10,0.18,2,170,2.99,5,-30,-0.53,231600
13,20161026,5530,5680,5480,5680,2,90,1.61,476789,-16.96,104.78,1.78,1.19,12199,40000,006380,2663,-52690,5,-60,-1.07,2,90,1.61,5,-110,-1.97,227200
14,20161025,5730,5780,5520,5590,5,200,-3.45,574135,-16.38,40.04,1.74,1.44,-15319,-22661,006380,3233,34652,5,-60,-1.04,5,-10,-0.17,5,-270,-4.66,223600
15,20161024,5760,5940,5720,5790,2,70,1.22,686579,42.90,90.72,1.78,1.72,-57188,0,006380,4001,55400,2,40,0.70,2,220,3.85,3,0,0.00,231600
16,20161021,5760,5820,5600,5720,5,70,-1.21,480471,-51.17,68.88,1.92,1.20,-4037,40034,006380,2743,-36110,5,-30,-0.52,2,30,0.52,5,-190,-3.28,228800
17,20161020,5910,5990,5750,5790,5,10,-0.17,983907,35.29,59.77,1.93,2.46,-147682,110,006380,5742,221195,2,110,1.90,2,190,3.28,5,-50,-0.86,231600
18,20161019,5710,5800,5610,5800,2,100,1.75,727278,-52.78,71.00,2.30,1.82,25920,-13,006380,4158,43184,2,10,0.18,2,100,1.75,5,-90,-1.58,232000
19,20161018,5780,5910,5660,5700,5,80,-1.38,1540118,-19.61,48.81,2.31,3.85,-157777,60000,006380,8898,474415,3,0,0.00,2,130,2.25,5,-120,-2.08,228000
20,20161017,5300,5800,5280,5780,2,500,9.47,1915889,678.93,174.31,2.77,4.79,271135,-32338,006380,10785,-247699,2,20,0.38,2,520,9.85,3,0,0.00,231200
21,20161014,5250,5330,5170,5280,2,30,0.57,245963,33.95,85.55,2.10,0.61,19846,11,006380,1286,-19836,3,0,0.00,2,80,1.52,5,-80,-1.52,211200
22,20161013,5350,5400,5250,5250,5,100,-1.87,183619,-43.65,26.51,2.05,0.46,-4247,0,006380,971,1675,3,0,0.00,2,50,0.93,5,-100,-1.87,210000
23,20161012,5380,5500,5300,5350,5,30,-0.56,325878,-17.03,101.23,2.06,0.81,-20655,-31919,006380,1758,52497,3,0,0.00,2,120,2.23,5,-80,-1.49,214000
24,20161011,5450,5480,5280,5380,5,20,-0.37,392779,-13.18,55.34,2.11,0.98,-39289,-34100,006380,2108,71642,2,50,0.93,2,80,1.48,5,-120,-2.22,215200
25,20161010,5160,5400,5050,5400,2,220,4.25,452387,53.84,103.58,2.21,1.13,71206,14386,006380,2379,-86222,5,-20,-0.39,2,220,4.25,5,-130,-2.51,216000
26,20161007,5310,5310,5170,5180,5,70,-1.33,294059,-12.35,36.67,2.03,0.74,14985,-13559,006380,1538,-1436,2,60,1.14,2,60,1.14,5,-80,-1.52,207200
27,20161006,5230,5380,5230,5250,5,70,-1.32,335495,-23.20,57.81,2.00,0.84,69072,-35434,006380,1771,-29940,5,-90,-1.69,2,60,1.13,5,-90,-1.69,210000
28,20161005,5390,5450,5250,5320,5,100,-1.85,436850,51.05,42.41,1.82,1.09,4835,-56825,006380,2319,51977,5,-30,-0.55,2,30,0.55,5,-170,-3.14,212800
29,20161004,5440,5480,5280,5420,2,50,0.93,289205,-7.97,79.37,1.81,0.72,46873,-66000,006380,1558,19704,2,70,1.30,2,110,2.05,5,-90,-1.68,216800
30,20160930,5400,5530,5360,5370,5,110,-2.01,314257,-29.54,34.51,1.79,0.79,2713,-7000,006380,1706,4324,5,-80,-1.46,2,50,0.91,5,-120,-2.19,214800
31,20160929,5450,5550,5380,5480,2,60,1.11,446005,-14.86,84.99,1.79,1.12,36143,-1298,006380,2438,8880,2,30,0.55,2,130,2.40,5,-40,-0.74,219200
