,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,2950,2950,2840,2900,3,0,0.00,399501,-49.66,40.98,1.49,2.36,-3391,-22,007460,1152,33537,2,50,1.72,2,50,1.72,5,-60,-2.07,49088
1,20161111,2820,2960,2730,2900,2,115,4.13,793640,-4.18,134.46,1.49,4.69,1945,1,007460,2288,77617,2,35,1.26,2,175,6.28,5,-55,-1.97,49088
2,20161110,2760,2830,2500,2785,2,60,2.20,828223,-73.03,82.36,1.48,4.89,13875,937,007460,2239,-15902,2,35,1.28,2,105,3.85,5,-225,-8.26,47142
3,20161109,2600,2960,2420,2725,2,130,5.01,3071327,7645.51,95.03,1.40,18.14,4253,5558,007460,8511,153049,2,5,0.19,2,365,14.07,5,-175,-6.74,46126
4,20161108,2635,2670,2585,2595,5,85,-3.17,39653,-28.68,18.46,1.38,0.23,-5008,-25,007460,104,5033,5,-45,-1.68,5,-10,-0.37,5,-95,-3.54,43926
5,20161107,2500,2740,2500,2680,2,40,1.52,55596,107.55,104.42,1.30,0.33,1964,181,007460,147,-1645,5,-140,-5.30,2,100,3.79,5,-140,-5.30,45364
6,20161104,2595,2690,2595,2640,5,5,-0.19,26787,-80.59,57.65,1.29,0.16,-7315,0,007460,71,7315,5,-50,-1.89,2,45,1.70,5,-50,-1.89,44687
7,20161103,2500,2680,2485,2645,2,50,1.93,137991,-56.94,68.66,1.33,0.82,-2603,-8,007460,351,2561,5,-95,-3.66,2,85,3.28,5,-110,-4.24,44772
8,20161102,2575,2830,2520,2595,5,20,-0.76,320466,409.78,73.63,1.35,1.89,-32789,0,007460,854,44043,5,-40,-1.53,2,215,8.22,5,-95,-3.63,43926
9,20161101,2515,2685,2515,2615,2,70,2.75,62864,-46.46,109.19,1.54,0.37,-7296,0,007460,164,8496,5,-30,-1.18,2,140,5.50,5,-30,-1.18,44264
10,20161031,2635,2680,2410,2545,5,90,-3.42,117425,54.32,42.88,1.58,0.69,23998,1553,007460,298,-25551,3,0,0.00,2,45,1.71,5,-225,-8.54,43079
11,20161028,2740,2790,2630,2635,5,100,-3.66,76090,-32.39,35.08,1.44,0.45,-1527,-170,007460,204,697,2,5,0.18,2,55,2.01,5,-105,-3.84,44603
12,20161027,2710,2845,2605,2735,2,45,1.67,112547,-52.73,153.84,1.45,0.66,-4193,0,007460,309,4196,2,20,0.74,2,155,5.76,5,-85,-3.16,46295
13,20161026,2800,2805,2550,2690,5,110,-3.93,238107,3.82,41.14,1.47,1.41,9317,0,007460,641,-9317,3,0,0.00,2,5,0.18,5,-250,-8.93,45534
14,20161025,2940,2940,2760,2800,5,130,-4.44,229354,-4.02,35.74,1.42,1.35,-14415,1,007460,648,18700,2,10,0.34,2,10,0.34,5,-170,-5.80,47396
15,20161024,2795,2930,2775,2930,2,105,3.72,238957,121.34,93.86,1.50,1.41,12221,1890,007460,682,78839,5,-30,-1.06,2,105,3.72,5,-50,-1.77,49596
16,20161021,2755,2915,2755,2825,2,20,0.71,107961,34.27,27.09,1.43,0.64,5038,0,007460,306,-5038,5,-50,-1.78,2,110,3.92,5,-50,-1.78,47819
17,20161020,2820,2900,2750,2805,2,25,0.90,80404,-65.96,39.22,1.40,0.48,60,-1,007460,227,2941,2,40,1.44,2,120,4.32,5,-30,-1.08,47480
18,20161019,2815,2935,2750,2780,5,100,-3.47,236185,24.26,26.15,1.40,1.40,22275,-1,007460,669,-22274,5,-65,-2.26,2,55,1.91,5,-130,-4.51,47057
19,20161018,2920,2980,2800,2880,5,70,-2.37,190074,-14.35,47.80,1.30,1.15,11424,0,007460,548,-11424,5,-30,-1.02,2,30,1.02,5,-150,-5.08,47618
20,20161017,3060,3130,2945,2950,5,150,-4.84,221908,16.52,29.03,1.23,1.34,10433,0,007460,672,-10433,5,-40,-1.29,2,30,0.97,5,-155,-5.00,48775
21,20161014,3000,3130,2945,3100,2,65,2.14,190441,52.17,89.85,1.17,1.15,3086,56,007460,581,-3142,5,-35,-1.15,2,95,3.13,5,-90,-2.97,51256
22,20161013,2985,3080,2970,3035,2,50,1.68,125153,-8.89,39.34,1.15,0.76,-17013,0,007460,376,7063,3,0,0.00,2,95,3.18,5,-15,-0.50,50181
23,20161012,3015,3100,2970,2985,5,115,-3.71,137364,-28.83,31.76,1.25,0.83,2863,0,007460,415,-2913,5,-85,-2.74,3,0,0.00,5,-130,-4.19,49354
24,20161011,3030,3125,2990,3100,2,75,2.48,193020,-34.28,61.90,1.24,1.17,22649,0,007460,590,-22849,2,5,0.17,2,100,3.31,5,-35,-1.16,51256
25,20161010,3140,3250,2990,3025,5,175,-5.47,293708,-61.60,39.39,1.10,1.78,7207,0,007460,910,32807,5,-60,-1.88,2,50,1.56,5,-210,-6.56,50015
26,20161007,3200,3480,3170,3200,3,0,0.00,764963,24.13,65.53,1.06,4.63,-63268,-1,007460,2540,81669,3,0,0.00,2,280,8.75,5,-30,-0.94,52909
27,20161006,2930,3240,2880,3200,2,270,9.22,616238,111.59,129.87,1.44,3.73,14843,-189,007460,1908,-39568,3,0,0.00,2,310,10.58,5,-50,-1.71,52909
28,20161005,2890,3030,2815,2930,2,35,1.21,291240,13.63,91.19,1.35,1.76,28006,-132,007460,855,-62974,5,-5,-0.17,2,135,4.66,5,-80,-2.76,48445
29,20161004,3070,3070,2860,2895,5,140,-4.61,256295,-44.06,32.59,1.18,1.55,20323,0,007460,748,-19023,2,35,1.15,2,35,1.15,5,-175,-5.77,47866
30,20160930,3215,3215,2980,3035,5,180,-5.60,458129,-35.14,51.24,1.06,2.77,14703,-107,007460,1390,-14596,3,0,0.00,3,0,0.00,5,-235,-7.31,50181
31,20160929,3000,3235,2955,3215,2,115,3.71,706359,-36.17,105.82,0.97,4.27,-2242,25,007460,2209,2217,5,-100,-3.23,2,135,4.35,5,-145,-4.68,53157
32,20160928,2740,3295,2740,3100,2,310,11.11,1106712,422.62,194.24,0.98,6.69,18755,-138090,007460,3267,188535,5,-50,-1.79,2,505,18.10,5,-50,-1.79,51256
33,20160927,2750,2810,2725,2790,5,15,-0.53,211762,-25.42,110.03,0.87,1.28,-12712,-59562,007460,588,69274,5,-55,-1.96,2,5,0.18,5,-80,-2.85,46130
34,20160926,2870,2895,2700,2805,5,25,-0.88,283945,-73.20,90.57,0.94,1.72,19211,-42343,007460,789,-42368,2,40,1.41,2,65,2.30,5,-130,-4.59,46378
35,20160923,2850,2975,2750,2830,2,45,1.62,1059598,196.53,103.70,0.83,6.41,-25156,-286767,007460,3068,309983,2,65,2.33,2,190,6.82,5,-35,-1.26,46791
