,date,open,high,low,close,sign,change,diff,volume,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,shcode,value,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff,marketcap
0,20161114,2500,2540,2450,2500,3,0,0.00,378224,-57.48,79.88,0.76,1.12,-11484,-130815,049630,946,147299,3,0,0.00,2,40,1.60,5,-50,-2.00,84414
1,20161111,2505,2640,2415,2500,3,0,0.00,889583,-23.62,72.03,0.76,2.63,-81323,-238977,049630,2257,322252,2,5,0.20,2,140,5.60,5,-85,-3.40,84414
2,20161110,2275,2760,2245,2500,2,265,11.86,1164732,417.17,105.51,1.00,3.45,-29522,-90880,049630,2956,113450,2,40,1.79,2,525,23.49,2,10,0.45,84414
3,20161109,2350,2350,2015,2235,5,110,-4.69,225213,210.90,43.45,1.09,0.67,-7026,0,049630,501,7026,2,5,0.21,2,5,0.21,5,-330,-14.07,75466
4,20161108,2350,2380,2300,2345,5,5,-0.21,72438,-35.69,46.00,1.11,0.21,-11078,0,049630,170,11078,3,0,0.00,2,30,1.28,5,-50,-2.13,79180
5,20161107,2370,2370,2160,2350,2,75,3.30,112636,46.78,57.09,1.14,0.33,-1374,0,049630,257,1374,2,95,4.18,2,95,4.18,5,-115,-5.05,79349
6,20161104,2300,2300,2145,2275,2,45,2.02,76738,-28.48,94.98,1.15,0.23,7736,-2,049630,169,-7734,2,70,3.14,2,70,3.14,5,-85,-3.81,76817
7,20161103,2100,2235,2100,2230,2,75,3.48,107289,-28.03,81.46,1.13,0.32,37356,0,049630,234,-37356,5,-55,-2.55,2,80,3.71,5,-55,-2.55,75297
8,20161102,2305,2405,2155,2155,5,190,-8.10,149078,11.83,58.69,1.02,0.44,9885,1,049630,333,3114,5,-40,-1.71,2,60,2.56,5,-190,-8.10,72765
9,20161101,2265,2360,2240,2345,2,45,1.96,133313,-30.06,55.25,0.98,0.39,28199,0,049630,308,-28199,5,-35,-1.52,2,60,2.61,5,-60,-2.61,79180
10,20161031,2450,2455,2235,2300,5,180,-7.26,190617,13.07,41.59,0.90,0.56,5986,0,049630,437,-5986,5,-30,-1.21,5,-25,-1.01,5,-245,-9.88,77661
